vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,t,sv,lv,anzahl_beteiligte,fg,rf,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,2,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,kinder,18_24,senioren
Steinfurter Straße,Johann-Krane-Weg,Fr,1/1/2010,1:00,5,,,,,2,,,,,,2,,,,21,21,,261,,27,72,,0,2,73,,,
Warendorfer Straße,Pleistermühlenweg,Fr,1/1/2010,2:01,4,,,,,2,,,,,,2,,,,21,21,,711,,36,72,,1/3/2016,1/2/2016,68,,,
Friedensstraße,3,Fr,1/1/2010,3:10,5,,,,,2,,,,,,1,,,1,59,21,,623,,13,72,,2/3/2016,2,24,,,
Steinfurter Straße,AS Nienberge FR MS,Fr,1/1/2010,5:30,5,,,,,2,,,,,,1,1,,,41,21,,369,,33,72,,0,2,50,,,
Hohenzollernring,72,Fr,1/1/2010,5:45,5,X,,,,2,,,,,,1,,,1,92,21,,799,,49,72,,2/3/2016,2,F,,,
Dingbängerweg,200m vor Sentruper Str.,Fr,1/1/2010,7:35,5,,,,,1,,,,,,1,,,,21,,,799,,49,72,,2/3/2016,2,F,,,
Westfalenstraße,Parkplatz Schulzentrum,Fr,1/1/2010,12:40,5,,,,,2,,,,,,2,,,,21,21,,651,,14,72,,0,2,34,,,
Kerkheideweg,23,Fr,1/1/2010,14:10,5,,,,,2,,,,,,2,,,,21,21,,231,,13,14,72,2/3/2016,2,56,,,
Düesbergweg,377,Fr,1/1/2010,15:50,5,,,,,1,,,,,,1,,,,21,,,681,,14,72,,0,2,63,,,
Fürstenbergstraße,5 / Parkplatz,Fr,1/1/2010,17:15,5,,,,,1,,,,,,1,,,,21,,,621,,14,72,,0,2,40,,,
Friedrich-Ebert-Straße,Hammer Straße,Fr,1/1/2010,17:24,5,,,,,2,,,,,,2,,,,21,21,,714,,36,72,,0,2,86,,,
Hülsebrockstraße,35,Fr,1/1/2010,18:10,5,,,,,2,,,,,,2,,,,21,21,,714,,36,72,,0,2,67,,,
B 54,"1,5km vor Abzweig BAB1",Fr,1/1/2010,18:45,5,,,,,1,,,,,,1,,,,21,,,591,,14,72,,1,2,25,,,
Ferdinandstraße,Siverdesstraße,Fr,1/1/2010,19:38,5,,,,,2,,,,,,2,,,,21,21,,501,,14,72,,1,2,23,,,
Hochstraße,6,Fr,1/1/2010,20:30,5,,,,,2,,,,,,2,,,,21,21,,703,,14,72,,2,2,43,,,
Freckenhorster Straße,500m vor Telgter Kreuz,Sa,1/2/2010,0:40,5,,,,,1,,,,,,,1,,,52,,,593,,14,72,,2/3/2016,2,23,,,
Twenteweg,37,Sa,1/2/2010,8:00,5,,,,,2,,,,,,2,,,,21,21,,681,,14,72,,1/3/2016,2,24,,,
Lindberghweg,90,Sa,1/2/2010,8:00,5,X,,,,1,,,,,,,,,1,92,,,102,,13,14,72,2/3/2016,2,20,,,
Martin-Niemöller-Straße,1,Sa,1/2/2010,9:45,5,,,,,2,,,,,,2,,,,21,21,,703,,36,72,,0,2,46,,,
