vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,igo,ago,t,sv,lv,anzahl_beteiligte,fg,rf,helm,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,kennz_01,2,kennz_02,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,urs_02,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,02_alter_in_jahren,bemerkungen,kinder,18_24,senioren
Hoher Heckenweg,Im Hagenfeld,fr,1/1/2016,13:50,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,631,,26,,,,,,26,,,,,
Bennostraße,8,fr,1/1/2016,15:15,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,,33,,,,,
Albersloher Weg,Egbert-Snoek-Straße,fr,1/1/2016,0:20,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ham,,623,,14,,,,2/3,,24,,,,,
Geiststraße,3,fr,1/1/2016,14:30,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,711,,36,,,,,,66,,,,,
Toppheideweg,12,fr,1/1/2016,13:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,502,,14,,,,,,77,,,,,
Nienkamp,ggü. 4,fr,1/1/2016,17:00,5,,m,,,,,1,,,,,,,1,,,,21,pm,,,,711,,36,,,,2,,54,,Stadt,,,
Kristiansandstraße,,fr,1/1/2016,16:00,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,ms,,551,,37,,,,,1,24,,,,,
Liboristraße,5,fr,1/1/2016,4:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,wan,,703,,49,,,,,,F,,,,,
Freckenhorster Straße,500m vor Telgter Straße,sa,1/2/2016,20:02,5,,,o,,,,1,,,,,,,1,,,,21,waf,,,,751,,0,,86,,2,1,26,,,,,
Theodor-Scheiwe-Straße,Albersloher Weg,sa,1/2/2016,17:45,5,,m,,,,,2,,,,,,,2,,,,21,re,21,be,,201,,14,,,,2,1,59,,,,,
Robert-Bosch-Straße,2,sa,1/2/2016,15:55,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,703,,36,,,,1,1,59,,,,,
Hohenzollernring,Warendorfer Straße,sa,1/2/2016,12:00,5,,m,,,,,2,,,,,,,2,,,,21,m,21,waf,,623,,14,,,,,1,23,,,,,
Albersloher Weg,Höhe Beresa,sa,1/2/2016,14:45,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,641,,26,,,,,1,34,,,,,
Dammeweg,11,sa,1/2/2016,11:40,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,571,,36,37,,,,1,35,,,,,
Meckmannweg,2,so,1/3/2016,14:05,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,321,,37,,,,,,32,,,,,
Friedensstraße,12,so,1/3/2016,19:20,5,,m,,,,,2,,,,,,,2,,,,21,m,21,ms,,711,,36,,,,2/3,,48,,,,,
Meesenstiege,Grafschaft,so,1/3/2016,18:20,5,,a,,,,,2,,,,,,,2,,,,21,waf,21,ms,,303,,28,,,,2,1,24,,,,,
Düesbergweg,13,so,1/3/2016,16:51,5,,z,,,,,2,,,,,,,2,,,,21,a,21,lh,,501,,14,,,,2,1,64,,,,,
Wiener Straße,58,so,1/3/2016,23:45,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,711,,36,,,,,,21,,,,,
Heinrich-Hemsath-Weg,Stierlinstraße,so,1/3/2016,13:25,5,,m,,,,,2,,,,,,,2,,,,21,e,21,st,,501,,14,,,,,1,28,,,,,
B 54,Auffahrt Nienberge,so,1/3/2016,11:40,5,,,m,,,,1,,,,,,,1,,,,21,st,,,,102,,13,49,,,,1,53,,Stadt,,,
Althoffstraße,Metzerstraße,mo,1/4/2016,8:10,5,,o,,,,,1,,,,,,,1,,,,21,ms,,,,799,,49,,,,1,1,33,,,,,
Bahnhofstraße,5,mo,1/4/2016,12:00,5,,m,,,,,2,,,,,,,,1,1,,33,ms,44,ms,,551,,37,,,,,1,53,,,,,
Gittruper Straße,22,mo,1/4/2016,8:45,5,,o,,,,,2,,,,,,,1,1,,,21,ms,40,waf,,501,,14,,,,,1,37,,,,,
Osterstraße,95,mo,1/4/2016,21:33,5,,o,,,,,2,,,,,,,2,,,,21,un,21,ms,,703,,44,,,,1,1,32,,,,,
Unckelstraße,Marktallee,mo,1/4/2016,13:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,1,81,,,,,
Hölkenbusch,34,mo,1/4/2016,10:15,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,681,,14,,,,,1,33,,,,,
Niels-Stensen-Straße,21,mo,1/4/2016,16:30,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,mk,,711,,36,,,,2,1,45,,,,,
Am Kalvarienberg,Parkstreifen,mo,1/4/2016,11:55,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,,59,,,,,
Himmelreichallee,25,mo,1/4/2016,9:38,5,X,,,,,,1,,,,,,,,,,1,92,,,,,799,,49,,,,,1,F,,Stadt,,,
Von-Vincke-Straße,9,mo,1/4/2016,12:00,5,,m,,,,,2,,,,,,,2,,,,21,ne,21,coe,,630,,26,,,,,1,58,,,,,
Friedrich-Ebert-Straße,143,mo,1/4/2016,12:00,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,36,,,,,1,51,,,,,
Fresnostraße,ggü. 129,mo,1/4/2016,10:45,5,,,o,,,,2,,,,,,,2,,,,21,m,21,ms,,711,,36,,,,,1,42,,,,,
Engelstraße,60,mo,1/4/2016,9:25,5,,m,,,,,2,,,,,,,2,,,,21,bot,21,ms,,202,,35,,,,,1,22,,,,,
Leerer Straße,,mo,1/4/2016,6:40,5,,z,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,501,,14,,,,2,1,47,,,,,
Martinistraße,Stiftsherrenstraße,mo,1/4/2016,14:30,5,,z,,,,,1,,,,,,,,1,,,51,sn,,,,299,,35,,,,,1,44,,,,,
Wolbecker Straße,2,mo,1/4/2016,16:45,5,,m,,,,,1,,,,,,,1,,,,21,ms,,,,711,,36,,,,1/3,1,31,,,,,
Neubrückenstraße,69,mo,1/4/2016,10:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,2/3,,F,,,,,
Osttor,Brücke über Gleise und Kanal,mo,1/4/2016,2:20,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,681,,11,,,,2/3,,F,,,,,
Moltkestraße,Parkplatz,mo,1/4/2016,13:05,5,,a,,,,,2,,,,,,,2,,,,21,hh,21,ms,,303,,28,,,,,1,20,,,,,
Nieland,28,mo,1/4/2016,20:30,5,,z,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,2/3,1,20,,,,,
Merkureck,Merkureck,mo,1/4/2016,13:03,5,,a,,,,,2,,1,n,,,,1,,,,21,ms,71,,,342,,28,,,,,1,49,,,,,
Schifffahrter Damm,Königsberger Straße,di,1/5/2016,5:15,5,,a,,,,,2,,,,,,,2,,,,21,ms,21,st,,301,,28,,,,2,,39,,,,,
Nordhornstraße,53,di,1/5/2016,14:02,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,,1,F,,,,,
Lüderitzweg,Angelmodder Weg,di,1/5/2016,14:25,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,ms,,501,,14,,,,,1,79,,,,,
von-der-Tinnen-Straße,2,di,1/5/2016,14:45,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,1,56,,,,,
Schorlemerstraße,Engelenschanze,di,1/5/2016,16:30,5,,m,,,,,2,,,,,,,2,,,,21,bot,21,ms,,645,,22,,,,1/3,1,56,,,,,
Friedrich-Ebert-Straße,143,di,1/5/2016,12:10,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,201,,14,,,,,,39,,,,,
Albersloher Weg,Am Schütthook,di,1/5/2016,12:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,201,,14,,,,,1,66,,,,,
Steinfurter Straße,Wilkinghege,di,1/5/2016,7:15,3,,,,,,1,3,,,,,,,3,,,,21,st,21,ms,,621,,14,,,,2/3,1,29,50,,,,
Dahlweg,120,di,1/5/2016,16:00,5,X,,,,,,2,,,,,,,1,,,1,92,,21,ms,,799,,49,,,,2/3,1,F,,,,,
Handorfer Straße,Warendorfer Straße,di,1/5/2016,11:40,5,,a,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,711,,36,,,,,1,48,,,,,
Hägerstraße,500m h. OA Nienberge,di,1/5/2016,7:35,5,,,o,,,,1,,,,,,,1,,,,21,ms,,,,751,,0,,86,,2,1,30,,,,,
Gescherweg,27,di,1/5/2016,14:30,5,,m,,,,,1,,,,,,,,1,,,44,gt,,,,711,,36,,,,,1,24,,Stadt,,,
Robert-Bosch-Straße,21,di,1/5/2016,17:30,5,,m,,,,,2,,,,,,,2,,,,21,b,21,ms,,703,,36,,,,2/3,1,38,,,,,
Siemensstraße,51,di,1/5/2016,13:37,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,711,,36,,,,,1,61,,,,,
Mauritz-Lindenweg,Parkplatz Schwimmbad,di,1/5/2016,20:15,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,703,,44,,,,2/3,1,50,,,,,
Steinfurter Straße,Wilkinghege,di,1/5/2016,7:20,5,,,o,,,,2,,,,,,,2,,,,21,ms,21,ms,,623,,14,,,,2,1,22,,,,,
Melchersstraße,28,di,1/5/2016,14:00,3,,,,,,1,2,,1,n,,,,1,,,,21,ms,71,,,581,,37,,,,,,67,39,,,,
Schulte-Herrmann-Straße,9,di,1/5/2016,14:40,5,,o,,,,,2,,,,,,,2,,,,21,ms,21,waf,,703,,14,,,,,1,78,,,,,
Melchersstraße,78,di,1/5/2016,11:59,5,,o,,,,,2,,,,,,,1,1,,,40,gt,21,st,,711,,36,,,,,,46,,,,,
Glasuritstraße,Hansestraße,mi,1/6/2016,17:05,5,,o,,,,,1,,,,,,,,1,,,46,so,,,,299,,14,,,,2/3,1,58,,Stadt,,,
Hansestraße,Glasuritstraße,mi,1/6/2016,16:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,ms,,231,,14,,,,1,1,54,,,,,
Westfalenstraße,148,mi,1/6/2016,13:50,5,,m,,,,,2,,,,,,,2,,,,21,be,21,ms,,721,,36,,,,,1,28,,,,,
Glasuritstraße,Hansestraße,mi,1/6/2016,20:50,5,,m,,,,,2,,,,,,,2,,,,21,ms,21,waf,,231,,14,,,,2,,36,,,,,
Voßgasse,Höhe Bank,mi,1/6/2016,11:10,5,,m,,,,,2,,,,,,,1,1,,,40,ms,21,ms,,501,,14,,,,,1,34,,,,,
Albersloher Weg,Nieberdingstraße,mi,1/6/2016,10:30,5,,m,,,,,3,,,,,,,1,2,,,21,ms,44,ms,,649,,14,,,,,1,43,,,,,
Friesenring,ggü. 16,mi,1/6/2016,15:21,5,,m,,,,,2,,,,,,,2,,,,21,d,21,coe,,601,,14,,,,,1,34,,,,,
Nevinghoff,18,mi,1/6/2016,13:25,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,st,,703,,14,,,,,1,56,,,,,
Gasselstiege,186,mi,1/6/2016,16:50,5,,m,,,,,2,,1,j,,,,1,,,,21,du,71,,,243,,35,,,,2,1,54,,,,,
Clemensstraße,Parkhaus Karstadt,mi,1/6/2016,13:40,5,,m,,,,,2,,,,,,,2,,,,21,waf,21,ms,,703,,36,,,,,,72,,,,,
