vu_ort,vu_hoehe,tag,datum,uhrzeit,kat,flucht,t,sv,lv,anzahl_beteiligte,fg,rf,mofa,kkr,krad,pkw,lkw,kom,sonstige,1,2,alkohol,typ,1_urs,2_urs,3_urs,sonst_urs,lichtverhaeltnisse,strassenzustand,01_alter_in_jahren,kinder,18_24,senioren
Weseler Straße,Blumenstraße,Di.,1/1/2008,2:11,3,,,,1,1,,1,,,,,,,,71,,,122,,49,,,2,1,,,1,
Pinienweg,20,Di.,1/1/2008,17:45,5,,,,,,,,,,,2,,,,21,21,,711,,36,,,2/3/2016,1,,,,
Hafenstraße,45,Di.,1/1/2008,20:35,3,,,,1,2,1,,,,,1,,,,21,81,,221,,40,39,,2/3/2016,1,,,,
Idenbrockweg,Grotemeyerstraße,Di,1/1/2008,4:40,4,,,,,1,,,,,,1,,,,21,,,121,1,13,,,2/3/2016,0,,,1,
Steinfurter Straße,York-Ring,Mi.,1/2/2008,15:45,5,,,,,,,,,,,2,,,,21,21,,231,,14,,,0,1,,,,
Ostmarkstraße,70,Mi.,1/2/2008,11:05,5,,,,,2,1,,,,,1,,,,81,21,,371,,64,,,0,0,,,,
Kardinal-von-Galen-Ring,65,Mi.,1/2/2008,13:15,5,,,,,,,,,,,2,,,,21,21,,561,,36,,,0,0,,,,
Siemensstraße,1,Mi.,1/2/2008,14:58,5,,,,,,,,,,,2,,,,21,21,,302,,37,,,0,1,,,,
Siemensstraße,21,Mi.,1/2/2008,16:30,5,,,,,,,,,,,2,,,,21,21,,302,,37,,,0,0,,,,
Hoher Heckenweg,Bushaltestelle,Mi.,1/2/2008,18:25,3,,,,2,3,,,,,,3,,,,21,21,,681,,10,,,2,2,,,,2
Moränenstraße,,Mi.,1/2/2008,10:55,7,,,,,,,,,,,2,,,,21,21,,703,,49,,,0,0,,,,1
Warendorfer Straße,Hohenzollernring,Mi.,1/2/2008,22:20,4,,,,,,,,,,,2,,,,21,21,,321,,31,,,2,0,,,,
