Bezeichnung,Hersteller,Leistung (kW),Jahresleistung (grün=tatsächl. Werte),Rotor-Durchmesser (m),Nabenhöhe (m),Errichtungsjahr,Alter (Jahre),Rechtswert,Hochwert,Bürgerwind,Kleinwind,Column2,Column3,Column 16,Column 17
A1,Enercon,1800,,70,98,2004,10,3391608,5772857,Ja,,,,52.07885102646202,7.417808649064127
A2,Enercon,1800,,70,98,2004,10,3391820,5772582,Ja,,,,52.07642191836441,7.420986976692226
A3,Enercon,1800,,70,98,2004,10,3391926,5771852,Ja,,,,52.069884375967064,7.422763624919011
A4,Enron Wind,1500,,77,100,2001,13,3392516,5771083,,,,,52.063090528764214,7.431606725691575
A5,Enron Wind,1500,,77,100,2001,13,3392543,5770831,,,,,52.06083181152965,7.43207956328632
A6,Tacke,80,,21,40,1993,21,3394864,5770618,,Ja,,,52.05936346449275,7.4659742710637556
A7,NEG Micon,1000,,60,70,2002,12,3392305,5767770,,,,,52.03328571345755,7.4295751354117225
A8,NEG Micon,1000,,60,70,2002,12,3393293,5767861,,,,,52.0342942232384,7.443938113523626
A9,NEG Micon,1000,,60,70,2002,12,3392120,5767454,,,,,52.030410826403894,7.426980058668943
A10,NEG Micon,1000,,60,70,2002,12,3392444,5767480,,,,,52.030707328573904,7.431690994537304
A11,NEG Micon,1000,,60,70,2002,12,3393080,5767505,,,,,52.03105488731173,7.440946716906158
A12,NEG Micon,1000,,60,70,2002,12,3393449,5767378,,,,,52.029984917877314,7.446360923632342
A13,NEG Micon,1000,,60,70,2002,12,3392296,5767197,,,,,52.02813614338515,7.429624419483442
A14,NEG Micon,1000,,60,70,2002,12,3392716,5767192,,,,,52.02817260809082,7.43574305167272
A15,NEG Micon,1000,,60,70,2002,12,3392379,5766895,,,,,52.02543908521229,7.430928239543992
A16,NEG Micon,1000,,60,70,2002,12,3392688,5766940,,,,,52.02590322078649,7.435414270357344
A17,NEG Micon,1000,,60,70,2003,11,3392771,5766614,,,,,52.02299047757981,7.4367251941128005
A18,NEG Micon,1000,,60,70,2003,11,3393290,5766589,,,,,52.02286593577423,7.444291094331292
A19,NEG Micon,1000,,60,70,2003,11,3392704,5766091,,,,,52.01827887963106,7.435913407518418
A20,Vestas,1000,,60,70,2005,9,3392769,5765776,,,,,52.01546147208746,7.436958535434332
A21,Vestas,1000,,60,70,2005,9,3393703,5767381,,,,,52.030060602179816,7.450059537756172
E1,Lagerwey,50,,16,24,1994,20,3395191,5781395,,Ja,,,52.15624634382856,7.467423911297539
E2,Lagerwey,45,,15.6,30,1990,24,3397726,5782471,,Ja,,,52.16638857801175,7.5041276327398565
E3,-,60,,-,-,1990,24,3399314,5787572,,,,,52.212508656790945,7.525813317719743
E4,Lagerwey,80,,18,40,1992,22,3401353,5780540,,Ja,,,52.14969999318489,7.557680120110196
E5,Enercon,2000,,82,108,2010,4,3401585,5788013,,,,,52.216880971258135,7.558899491441199
E6,Vestas,2000,,80,100,2003,11,3401887,5788199,,,,,52.21860590286233,7.563262903368882
E7,Vestas,2000,,80,100,2003,11,3402251,5788329,,,,,52.21983856072889,7.568549777225616
