BezirkName,BezirkNummer,2010,2011,2012,2013,2014
Aegidii,11,29,32,31,36,36
Überwasser,12,25,25,27,17,21
Dom,13,35,33,32,33,45
Buddenturm,14,44,46,42,42,37
Martini,15,25,24,22,32,26
Altstadt,,158,160,154,160,165
Pluggendorf,21,75,70,90,94,94
Josef,22,268,307,346,359,334
Bahnhof,23,38,38,39,49,43
Hansaplatz,24,214,235,229,236,248
Mauritz-West,25,123,144,127,129,130
Schlachthof,26,133,112,132,140,146
Kreuz,27,221,217,224,221,221
Neutor,28,83,83,93,91,94
Schloss,29,26,25,28,35,37
Innenstadtring,,1181,1231,1308,1354,1347
Aaseestadt,31,129,141,133,133,132
Geist,32,289,251,307,287,303
Schützenhof,33,240,246,274,280,291
Düesberg,34,170,177,170,171,163
Mitte-Süd,,828,815,884,871,889
Hafen,43,30,39,34,38,35
Herz-Jesu,44,129,138,157,148,133
Mauritz-Mitte,45,229,202,239,225,193
Rumphorst,46,171,151,180,189,181
Uppenberg,47,309,309,336,346,327
Mitte-Nordost,,868,839,946,946,869
Mitte,,3035,3045,3292,3331,3270
Gievenbeck,51,469,493,553,544,556
Sentrup,52,96,112,106,106,120
Mecklenbeck,54,207,165,196,169,204
Albachten,56,111,120,114,151,142
Roxel,57,230,216,214,223,235
Nienberge,58,154,167,168,189,184
West,,1267,1273,1351,1382,1441
Coerde,61,696,723,766,728,698
Kinderhaus-Ost,62,201,197,209,186,181
Kinderhaus-West,63,625,645,666,646,591
Sprakel,68,72,68,72,63,81
Nord,,1594,1633,1713,1623,1551
Mauritz-Ost,71,182,200,237,238,217
Gelmer-Dyckburg,76,64,66,77,74,77
Handorf,77,166,171,169,195,222
Ost,,412,437,483,507,516
Gremmendorf-West,81,141,149,153,155,187
Gremmendorf-Ost,82,150,162,166,159,167
Angelmodde,86,320,335,365,349,368
Wolbeck,87,198,206,233,216,243
Südost,,809,852,917,879,965
"Berg Fidel",91,281,302,321,346,306
Hiltrup-Ost,95,111,120,132,126,119
Hiltrup-Mitte,96,356,326,369,381,348
Hiltrup-West,97,292,287,286,298,284
Amelsbüren,98,94,114,121,108,109
Hiltrup,,1134,1149,1229,1259,1166
"nicht zuzuordnen",,41,16,11,23,14
"Stadt Münster",,8292,8405,8996,9004,8923
