BezirkName,BezirkNummer,2010,2011,2012,2013,2014
Aegidii,11,903,998,1001,995,959
Überwasser,12,954,1073,1049,1054,1019
Dom,13,1508,1642,1602,1611,1585
Buddenturm,14,1401,1538,1546,1583,1589
Martini,15,931,1017,1024,1025,1027
Altstadt,,5697,6268,6222,6268,6179
Pluggendorf,21,2761,3079,3072,3098,3140
Josef,22,5640,6046,6031,6227,6217
Bahnhof,23,818,895,880,936,968
Hansaplatz,24,4655,5015,5024,4981,5024
Mauritz-West,25,3978,4257,4238,4252,4282
Schlachthof,26,2856,3062,3101,3139,3145
Kreuz,27,7678,8287,8266,8223,8235
Neutor,28,2717,3159,3071,3004,3005
Schloss,29,1185,1314,1295,1304,1303
Innenstadtring,,32288,35114,34978,35164,35319
Aaseestadt,31,2990,3108,3132,3159,3121
Geist,32,5093,5342,5328,5350,5411
Schützenhof,33,4707,5063,5063,5148,5152
Düesberg,34,3410,3485,3504,3543,3549
Mitte-Süd,,16200,16998,17027,17200,17233
Hafen,43,727,801,785,793,776
Herz-Jesu,44,2759,2911,2926,2904,2956
Mauritz-Mitte,45,5944,6181,6117,6211,6241
Rumphorst,46,3990,4153,4212,4286,4265
Uppenberg,47,4604,4990,5024,5079,5117
Mitte-Nordost,,18024,19036,19064,19273,19355
Mitte,,72209,77416,77291,77905,78086
Gievenbeck,51,8998,10170,10428,10661,10748
Sentrup,52,3766,4339,4422,4451,4542
Mecklenbeck,54,4407,4697,4206,4306,4570
Albachten,56,2324,2414,2464,2504,2558
Roxel,57,3953,4185,4254,4264,4336
Nienberge,58,3196,3395,3391,3440,3433
West,,26644,29200,29165,29626,30187
Coerde,61,4506,4673,4714,4791,4885
Kinderhaus-Ost,62,2560,2623,2628,2649,2661
Kinderhaus-West,63,4678,4905,4895,4913,4914
Sprakel,68,1260,1269,1298,1332,1364
Nord,,13004,13470,13535,13685,13824
Mauritz-Ost,71,5004,5200,5295,5343,5375
Gelmer-Dyckburg,76,1536,1584,1625,1658,1682
Handorf,77,3290,3421,3474,3476,3521
Ost,,9830,10205,10394,10477,10578
Gremmendorf-West,81,2163,2215,2225,2367,2430
Gremmendorf-Ost,82,2907,2978,3012,3080,3109
Angelmodde,86,3528,3626,3655,3831,3857
Wolbeck,87,3927,4025,4062,4137,4183
Südost,,12525,12844,12954,13415,13579
"Berg Fidel",91,2491,2580,2583,2586,2614
Hiltrup-Ost,95,2968,3016,2986,2995,3014
Hiltrup-Mitte,96,4947,5093,5150,5164,5166
Hiltrup-West,97,3938,4083,4174,4208,4278
Amelsbüren,98,2322,2384,2422,2439,2426
Hiltrup,,16666,17156,17315,17392,17498
"Stadt Münster",,150878,160291,160654,162500,163752
