BezirkName,BezirkNummer,2010,2011,2012,2013,2014
Aegidii,11,417,436,455,455,464
Überwasser,12,381,429,471,446,445
Dom,13,657,686,742,789,783
Buddenturm,14,656,672,722,727,747
Martini,15,424,444,462,493,511
Altstadt,,2535,2667,2852,2910,2950
Pluggendorf,21,1367,1418,1519,1596,1654
Josef,22,3171,3287,3470,3554,3685
Bahnhof,23,366,396,430,461,466
Hansaplatz,24,2688,2842,2983,3052,3042
Mauritz-West,25,2165,2283,2448,2460,2518
Schlachthof,26,1653,1731,1878,1912,1929
Kreuz,27,4136,4234,4467,4526,4538
Neutor,28,1229,1285,1417,1424,1454
Schloss,29,592,637,684,694,686
Innenstadtring,,17367,18113,19296,19679,19972
Aaseestadt,31,1614,1684,1714,1728,1798
Geist,32,3069,3112,3221,3296,3341
Schützenhof,33,2729,2833,3082,3135,3168
Düesberg,34,2271,2317,2385,2468,2537
Mitte-Süd,,9683,9946,10402,10627,10844
Hafen,43,375,395,423,469,468
Herz-Jesu,44,1591,1627,1743,1776,1791
Mauritz-Mitte,45,3470,3554,3695,3775,3845
Rumphorst,46,2552,2666,2725,2792,2902
Uppenberg,47,2576,2632,2805,2823,2882
Mitte-Nordost,,10564,10874,11391,11635,11888
Mitte,,40149,41600,43941,44851,45654
Gievenbeck,51,5566,5777,6190,6373,6474
Sentrup,52,1630,1703,1907,2003,2081
Mecklenbeck,54,3068,3094,3209,3160,3191
Albachten,56,1828,1900,1932,2045,2094
Roxel,57,2727,2771,2960,3066,3161
Nienberge,58,1952,1951,2052,2091,2112
West,,16771,17196,18250,18738,19113
Coerde,61,2859,2976,3131,3115,3062
Kinderhaus-Ost,62,1584,1561,1597,1634,1683
Kinderhaus-West,63,2816,2941,3082,3092,3031
Sprakel,68,968,980,1032,1060,1074
Nord,,8227,8458,8842,8901,8850
Mauritz-Ost,71,2964,3097,3237,3386,3462
Gelmer-Dyckburg,76,1090,1109,1178,1240,1251
Handorf,77,2160,2243,2384,2485,2486
Ost,,6214,6449,6799,7111,7199
Gremmendorf-West,81,1594,1605,1623,1631,1693
Gremmendorf-Ost,82,2087,2116,2226,2272,2346
Angelmodde,86,2239,2264,2364,2374,2474
Wolbeck,87,2573,2674,2795,2881,2917
Südost,,8493,8659,9008,9158,9430
"Berg Fidel",91,1766,1824,1874,1843,1800
Hiltrup-Ost,95,2182,2221,2256,2222,2212
Hiltrup-Mitte,96,3248,3319,3447,3464,3506
Hiltrup-West,97,3052,3094,3220,3312,3352
Amelsbüren,98,1915,1909,2079,2126,2147
Hiltrup,,12163,12367,12876,12967,13017
"nicht zuzuordnen",,306,545,182,277,321
"Stadt Münster",,92323,95274,99898,102003,103584
