BezirkName,BezirkNummer,2010,2011,2012,2013,2014
Aegidii,11,1356,1470,1454,1462,1450
Überwasser,12,1273,1405,1384,1385,1354
Dom,13,2155,2284,2228,2251,2199
Buddenturm,14,2260,2394,2363,2415,2432
Martini,15,1274,1363,1377,1390,1384
Altstadt,,8318,8916,8806,8903,8819
Pluggendorf,21,4045,4407,4385,4411,4522
Josef,22,7980,8423,8409,8683,8688
Bahnhof,23,1056,1126,1123,1200,1251
Hansaplatz,24,6589,6945,6935,6874,6932
Mauritz-West,25,5900,6203,6141,6202,6260
Schlachthof,26,4865,5132,5141,5231,5284
Kreuz,27,11939,12648,12602,12550,12524
Neutor,28,3978,4473,4381,4288,4338
Schloss,29,2070,2249,2241,2245,2210
Innenstadtring,,48422,51606,51358,51684,52009
Aaseestadt,31,5352,5537,5542,5534,5479
Geist,32,8738,8929,8884,8864,8976
Schützenhof,33,7102,7529,7513,7632,7688
Düesberg,34,6826,6992,6994,7035,7036
Mitte-Süd,,28018,28987,28933,29065,29179
Hafen,43,982,1075,1044,1063,1045
Herz-Jesu,44,5065,5225,5210,5148,5202
Mauritz-Mitte,45,9942,10171,10084,10227,10220
Rumphorst,46,7829,7952,8003,8065,8099
Uppenberg,47,8084,8500,8566,8609,8605
Mitte-Nordost,,31902,32923,32907,33112,33171
Mitte,,116660,122432,122004,122764,123178
Gievenbeck,51,18832,20478,20816,21074,21155
Sentrup,52,6628,7294,7422,7468,7631
Mecklenbeck,54,9335,9664,8849,8949,9250
Albachten,56,5724,5893,5990,6128,6244
Roxel,57,8338,8681,8816,8964,9082
Nienberge,58,6519,6802,6776,6806,6769
West,,55376,58812,58669,59389,60131
Coerde,61,10045,10321,10426,10428,10555
Kinderhaus-Ost,62,4887,4939,4959,5021,4998
Kinderhaus-West,63,10365,10576,10540,10479,10513
Sprakel,68,2964,3015,3046,3053,3102
Nord,,28261,28851,28971,28981,29168
Mauritz-Ost,71,9716,10005,10252,10290,10317
Gelmer-Dyckburg,76,3471,3558,3623,3658,3692
Handorf,77,7680,7867,7959,7932,8017
Ost,,20867,21430,21834,21880,22026
Gremmendorf-West,81,4705,4681,4691,4829,4932
Gremmendorf-Ost,82,6379,6489,6518,6526,6522
Angelmodde,86,7368,7527,7527,7791,7930
Wolbeck,87,8703,8819,8837,8924,8981
Südost,,27155,27516,27573,28070,28365
"Berg Fidel",91,5563,5653,5690,5673,5640
Hiltrup-Ost,95,6527,6545,6405,6358,6350
Hiltrup-Mitte,96,9787,9970,9934,9927,9881
Hiltrup-West,97,8922,9047,9195,9190,9284
Amelsbüren,98,6062,6184,6261,6286,6244
Hiltrup,,36861,37399,37485,37434,37399
"Stadt Münster",,285180,296440,296536,298518,300267
