BezirkName,BezirkNummer,Gesamt,"0 - 9","10 - 19","20 - 29","30 - 39","40 - 49","50 - 59","60 - 69","70 - 79","80 - 89","90 u. mehr"
Aegidii,11,663,37,38,184,126,85,66,47,62,14,4
Überwasser,12,611,18,31,247,118,67,52,37,32,.,.
Dom,13,1081,42,37,367,226,143,89,75,72,.,.
Buddenturm,14,1125,39,59,427,195,131,90,63,58,49,14
Martini,15,579,22,32,171,117,80,69,38,34,.,.
Altstadt,,4059,158,197,1396,782,506,366,260,258,114,22
Pluggendorf,21,1918,82,76,697,430,204,174,84,95,62,14
Josef,22,3952,211,164,1288,912,490,366,220,196,92,13
Bahnhof,23,625,29,14,260,151,76,46,22,18,.,.
Hansaplatz,24,3377,175,131,1020,855,431,377,220,118,47,3
Mauritz-West,25,2783,191,145,680,644,413,320,204,131,50,5
Schlachthof,26,2434,226,200,414,443,384,318,214,173,55,7
Kreuz,27,5852,402,360,1431,1120,795,730,525,359,114,16
Neutor,28,2112,100,125,941,370,188,159,110,88,.,.
Schloss,29,989,71,44,210,172,131,123,95,85,45,13
Innenstadtring,,24042,1487,1259,6941,5097,3112,2613,1694,1263,496,80
Aaseestadt,31,2510,206,214,384,356,337,353,261,259,122,18
Geist,32,4260,332,320,813,752,634,612,393,268,119,17
Schützenhof,33,3569,243,197,963,837,470,404,222,168,54,11
Düesberg,34,3395,296,337,457,436,552,524,337,277,157,22
Mitte-Süd,,13734,1077,1068,2617,2381,1993,1893,1213,972,452,68
Hafen,43,525,22,10,179,144,80,42,21,15,.,.
Herz-Jesu,44,2246,149,136,493,473,316,272,168,147,.,.
Mauritz-Mitte,45,4680,342,362,842,819,652,696,405,339,194,29
Rumphorst,46,3813,330,451,619,491,523,624,317,280,154,24
Uppenberg,47,4147,392,296,911,698,623,562,338,224,86,17
Mitte-Nordost,,15411,1235,1255,3044,2625,2194,2196,1249,1005,518,90
Mitte,,57246,3957,3779,13998,10885,7805,7068,4416,3498,1580,260
Gievenbeck,51,10217,1125,1227,2834,1436,1269,1078,634,402,195,17
Sentrup,52,3568,272,356,1305,456,372,347,209,165,72,14
Mecklenbeck,54,4546,320,584,770,407,656,801,444,371,175,18
Albachten,56,3059,407,404,287,358,510,474,283,227,99,10
Roxel,57,4550,554,485,581,592,748,629,446,362,147,6
Nienberge,58,3409,311,341,483,427,464,500,354,376,144,9
West,,29349,2989,3397,6260,3676,4019,3829,2370,1903,832,74
Coerde,61,5132,710,646,694,644,677,769,432,375,168,17
Kinderhaus-Ost,62,2388,241,229,341,307,330,376,266,189,102,7
Kinderhaus-West,63,5107,592,571,750,560,620,740,602,473,181,18
Sprakel,68,1563,161,183,146,164,262,258,170,149,65,5
Nord,,14190,1704,1629,1931,1675,1889,2143,1470,1186,516,47
Mauritz-Ost,71,4917,465,472,495,667,786,805,489,462,250,26
Gelmer-Dyckburg,76,1800,191,187,152,184,301,313,232,167,64,9
Handorf,77,3874,457,474,349,387,603,617,372,432,161,22
Ost,,10591,1113,1133,996,1238,1690,1735,1093,1061,475,57
Gremmendorf-West,81,2472,226,312,365,293,392,427,220,154,70,13
Gremmendorf-Ost,82,3189,315,401,360,376,522,541,313,244,104,13
Angelmodde,86,3838,413,434,471,485,552,597,389,344,134,19
Wolbeck,87,4360,445,494,421,468,675,701,491,484,164,17
Südost,,13859,1399,1641,1617,1622,2141,2266,1413,1226,472,62
"Berg Fidel",91,2724,304,315,399,359,354,393,250,229,104,17
Hiltrup-Ost,95,3044,226,310,300,290,424,496,428,411,143,16
Hiltrup-Mitte,96,4539,394,447,591,600,683,649,473,480,206,16
Hiltrup-West,97,4565,447,550,518,536,722,778,534,371,100,9
Amelsbüren,98,3172,354,419,276,372,573,448,331,280,106,13
Hiltrup,,18044,1725,2041,2084,2157,2756,2764,2016,1771,659,71
"Stadt Münster",,143279,12887,13620,26886,21253,20300,19805,12778,10645,4534,571
