BezirkName,BezirkNummer,Gesamt,"0 - 9","10 - 19","20 - 29","30 - 39","40 - 49","50 - 59","60 - 69","70 - 79","80 - 89","90 u. mehr"
Aegidii,11,787,46,35,218,106,77,71,51,82,66,35
Überwasser,12,743,17,46,354,95,61,37,40,41,.,.
Dom,13,1118,32,45,370,183,88,103,73,117,.,.
Buddenturm,14,1307,42,44,463,148,122,96,68,97,135,92
Martini,15,805,25,42,326,112,61,77,47,69,.,.
Altstadt,,4760,162,212,1731,644,409,384,279,406,372,161
Pluggendorf,21,2604,85,147,1004,411,174,178,116,202,208,79
Josef,22,4736,181,211,1794,827,462,479,293,277,170,42
Bahnhof,23,626,16,22,352,92,32,45,23,20,.,.
Hansaplatz,24,3555,161,144,1373,724,376,327,178,139,116,17
Mauritz-West,25,3477,205,186,1118,615,433,385,221,193,95,26
Schlachthof,26,2850,184,207,548,425,401,375,272,267,141,30
Kreuz,27,6672,383,373,1851,1042,794,795,609,458,269,98
Neutor,28,2226,87,171,1043,299,163,172,138,86,.,.
Schloss,29,1221,61,70,321,172,86,150,88,126,106,41
Innenstadtring,,27967,1363,1531,9404,4607,2921,2906,1938,1768,1176,353
Aaseestadt,31,2969,212,216,547,374,338,397,301,331,211,42
Geist,32,4716,352,330,1019,715,598,606,436,354,228,78
Schützenhof,33,4119,239,209,1327,787,446,418,245,252,149,47
Düesberg,34,3641,274,345,504,411,528,513,350,370,274,72
Mitte-Süd,,15445,1077,1100,3397,2287,1910,1934,1332,1307,862,239
Hafen,43,520,27,13,231,102,42,32,24,28,.,.
Herz-Jesu,44,2956,152,149,695,413,295,312,178,323,.,.
Mauritz-Mitte,45,5540,339,359,999,846,734,823,481,527,356,76
Rumphorst,46,4286,339,429,687,488,608,695,360,398,230,52
Uppenberg,47,4458,363,347,1112,678,551,526,348,308,182,43
Mitte-Nordost,,17760,1220,1297,3724,2527,2230,2388,1391,1584,1097,302
Mitte,,65932,3822,4140,18256,10065,7470,7612,4940,5065,3507,1055
Gievenbeck,51,10938,1020,1259,3065,1436,1395,1099,736,511,321,96
Sentrup,52,4063,260,387,1644,404,335,360,226,204,171,72
Mecklenbeck,54,4704,323,549,735,412,707,762,477,441,249,49
Albachten,56,3185,355,401,283,423,503,461,309,287,136,27
Roxel,57,4532,432,471,593,598,676,601,458,453,204,46
Nienberge,58,3360,282,305,471,373,435,460,397,429,180,28
West,,30782,2672,3372,6791,3646,4051,3743,2603,2325,1261,318
Coerde,61,5423,672,611,688,666,711,757,486,493,281,58
Kinderhaus-Ost,62,2610,235,234,363,329,342,408,280,277,120,22
Kinderhaus-West,63,5406,556,551,709,578,635,833,637,585,273,49
Sprakel,68,1539,151,180,139,169,229,238,153,174,91,15
Nord,,14978,1614,1576,1899,1742,1917,2236,1556,1529,765,144
Mauritz-Ost,71,5400,424,458,626,637,837,821,574,606,353,64
Gelmer-Dyckburg,76,1892,193,217,186,205,308,287,206,190,87,13
Handorf,77,4143,429,435,343,451,660,604,413,513,234,61
Ost,,11435,1046,1110,1155,1293,1805,1712,1193,1309,674,138
Gremmendorf-West,81,2460,219,281,342,270,401,400,215,200,111,21
Gremmendorf-Ost,82,3333,295,368,364,386,565,531,310,293,187,34
Angelmodde,86,4092,411,412,472,490,536,599,457,443,231,41
Wolbeck,87,4621,401,458,403,509,672,755,547,586,238,52
Südost,,14506,1326,1519,1581,1655,2174,2285,1529,1522,767,148
"Berg Fidel",91,2916,271,319,376,379,356,396,263,294,203,59
Hiltrup-Ost,95,3306,224,326,284,309,436,575,465,484,182,21
Hiltrup-Mitte,96,5342,351,441,633,589,750,779,585,686,414,114
Hiltrup-West,97,4719,435,563,489,536,749,857,535,408,130,17
Amelsbüren,98,3072,343,385,264,406,526,418,250,308,145,27
Hiltrup,,19355,1624,2034,2046,2219,2817,3025,2098,2180,1074,238
"Stadt Münster",,156988,12104,13751,31728,20620,20234,20613,13919,13930,8048,2041
