Datum,,Gartenstraße  stadteinwärts,Gartenstraße stadtauswärts,Hammer Straße  stadteinwärts (Barometer),Hammer Straße stadtauswärts,Hüfferstraße  stadteinwärts,Hüfferstraße stadtauswärts,Promenade,Warendorfer Straße  stadteinwärts,Warendorfer Straße stadtauswärts,Weseler Straße  stadteinwärts,Weseler Straße stadtauswärts
13/07/2016,00:00,,,,,,,,,,1689,920
14/07/2016,00:00,,,,,,,,,,1958,1368
15/07/2016,00:00,,,,,,,,,,2155,1378
16/07/2016,00:00,,,,,,,,,,1509,1052
17/07/2016,00:00,,,,,,,,,,1016,725
18/07/2016,00:00,,,,,,,,,,2178,1433
19/07/2016,00:00,,,,,,,,,,2123,1433
20/07/2016,00:00,,,,,,,,,,2104,1476
21/07/2016,00:00,,,,,,,,,,1890,1258
22/07/2016,00:00,,,,,,,,,,1788,1211
23/07/2016,00:00,,,,,,,,,,1357,949
24/07/2016,00:00,,,,,,,,,,1009,692
25/07/2016,00:00,,,,,,,,,,1842,1271
26/07/2016,00:00,,,,,,,,,,2062,1378
27/07/2016,00:00,,,,,,,,,,1971,1340
28/07/2016,00:00,,,,,,,,,,1557,1059
29/07/2016,00:00,,,,,,,,,,1568,1012
30/07/2016,00:00,,,,,,,,,,1204,791
31/07/2016,00:00,,,,,,,,,,708,575
01/08/2016,00:00,,,,,,,,,,1605,1039
02/08/2016,00:00,,,,,,,,,,1386,797
03/08/2016,00:00,,,,,,,,,,1257,705
04/08/2016,00:00,,,,,,,,,,1730,1154
05/08/2016,00:00,,,,,,,,,,1651,1089
06/08/2016,00:00,,,,,,,,,,1285,789
07/08/2016,00:00,,,,,,,,,,926,733
08/08/2016,00:00,,,,,,,,,,1717,1171
09/08/2016,00:00,,,,,,,,,,1666,1174
10/08/2016,00:00,,,,,,,,,,1638,1054
11/08/2016,00:00,,,,,,,,,,1418,943
12/08/2016,00:00,,,,,,,,,,1406,754
13/08/2016,00:00,,,,,,,,,,1259,814
14/08/2016,00:00,,,,,,,,,,790,689
15/08/2016,00:00,,,,,,,,,,1896,1152
16/08/2016,00:00,,,,,,,,,,1947,1285
17/08/2016,00:00,,,,,,,,,,2057,1301
18/08/2016,00:00,,,,,,,,,,2005,1320
19/08/2016,00:00,,,,,,,,,,1811,1231
20/08/2016,00:00,,,,,,,,,,1588,1030
21/08/2016,00:00,,,,,,,,,,703,474
22/08/2016,00:00,,,,,,,,,,1586,982
23/08/2016,00:00,,,,,,,,,,2252,1462
24/08/2016,00:00,,,,,,,,,,2435,1568
25/08/2016,00:00,,,,,,,,,,2363,1551
26/08/2016,00:00,,,,,,,,,,2300,1470
27/08/2016,00:00,,,,,,,,,,1477,946
28/08/2016,00:00,,,,,,,,,,1029,749
29/08/2016,00:00,,,,,,,,,,1898,1303
30/08/2016,00:00,,,,,,,,,,2354,1451
31/08/2016,00:00,,,,,,,,,,2398,1510
01/09/2016,00:00,,,,,,,,,,2318,1510
02/09/2016,00:00,,,,,,,,,,2301,1455
03/09/2016,00:00,,,,,,,,,,1856,1143
04/09/2016,00:00,,,,,,,,,,822,598
05/09/2016,00:00,,,,,,,,,,2183,1407
06/09/2016,00:00,,,,,,,,,,2376,1578
07/09/2016,00:00,,,,,,,,,,2486,1574
08/09/2016,00:00,,,,,,,,,,2437,1576
09/09/2016,00:00,,,,,,,,,,2294,1429
10/09/2016,00:00,,,,,,,,,,1588,1024
11/09/2016,00:00,,,,,,,,,,1493,1240
12/09/2016,00:00,,,,,,,,,,2335,1513
13/09/2016,00:00,,,,,,,,,,2409,1519
14/09/2016,00:00,,,,,,,,,,2337,1465
15/09/2016,00:00,,,,,,,,,,2399,1545
16/09/2016,00:00,,,,,,,,,,2089,1304
17/09/2016,00:00,,,,,,,,,,1517,974
18/09/2016,00:00,,,,,,,,,,948,665
19/09/2016,00:00,,,,,,,,,,2231,1381
20/09/2016,00:00,,,,,,,,,,2308,1458
21/09/2016,00:00,,,,,,,,,,2333,1495
22/09/2016,00:00,,,,,,,,,,2313,1470
23/09/2016,00:00,,,,,,,,,,2173,1265
24/09/2016,00:00,,,,,,,,,,1512,915
25/09/2016,00:00,,,,,,,,,,1092,752
26/09/2016,00:00,,,,,,,,,,2180,1366
27/09/2016,00:00,,,,,,,,,,2255,1497
28/09/2016,00:00,,,,,,,,,,2252,1420
29/09/2016,00:00,,,,,,,,,,2194,1429
30/09/2016,00:00,,,,,,,,,,2058,1193
01/10/2016,00:00,,,,,,,,,,1285,730
02/10/2016,00:00,,,,,,,,,,681,559
03/10/2016,00:00,,,,,,,,,,1137,934
04/10/2016,00:00,,,,,,,,,,2208,1404
05/10/2016,00:00,,,,,,,,,,2228,1452
06/10/2016,00:00,,,,,,,,,,2094,1387
07/10/2016,00:00,,,,,,,,,,2032,1309
08/10/2016,00:00,,,,,,,,,,1333,868
09/10/2016,00:00,,,,,,,,,,902,694
10/10/2016,00:00,,,,,,,,,,1872,1244
11/10/2016,00:00,,,,,,,,,,1801,1272
12/10/2016,00:00,,,,,,,,,,1866,1233
13/10/2016,00:00,,,,,,,,,,1802,1232
14/10/2016,00:00,,,,,,,,,,1713,1114
15/10/2016,00:00,,,,,,,,,,1054,716
16/10/2016,00:00,,,,,,,,,,945,702
17/10/2016,00:00,,,,,,,,,,2154,1516
18/10/2016,00:00,,,,,,,2687,,,2029,1385
19/10/2016,00:00,,,,,,,10638,,,1413,846
20/10/2016,00:00,,,,,,,13933,,,1860,1211
21/10/2016,00:00,,,,,,,11810,,,1552,1034
22/10/2016,00:00,,,,,,,9494,,,1274,797
23/10/2016,00:00,,,,,,,6984,,,919,730
24/10/2016,00:00,,,,,,,14234,,,2026,1280
25/10/2016,00:00,,,,4423,,,15848,,,2186,1550
26/10/2016,00:00,,,,5086,,,17556,,,2468,1793
27/10/2016,00:00,,,,4885,,,17486,,,2447,1792
28/10/2016,00:00,,,3179,4717,,,15827,,,2227,1572
29/10/2016,00:00,,,4162,4380,,,11969,,,1560,1057
30/10/2016,00:00,,,1676,1965,,,7500,,,1034,814
31/10/2016,00:00,,,4770,5173,,,16189,,,2511,1706
01/11/2016,00:00,,,1752,2147,,,8243,,,904,729
02/11/2016,00:00,1430,1220,4390,5013,,3221,15793,,2761,2253,1500
03/11/2016,00:00,1957,1661,4501,4954,4024,5136,17175,5028,4576,2490,1704
04/11/2016,00:00,1888,1582,4413,4909,3115,3900,16523,4819,4327,2210,1412
05/11/2016,00:00,1117,842,3183,3622,1453,1780,9574,3261,2977,1118,761
06/11/2016,00:00,386,434,1199,1587,612,897,5526,1347,1298,688,543
07/11/2016,00:00,1407,1166,3050,3405,2837,3664,12226,3593,3227,1749,1065
08/11/2016,00:00,1729,1414,3935,4410,3635,4628,15160,4561,4185,2154,1137
09/11/2016,00:00,1727,1471,3916,4320,3586,1590,14808,4538,4296,2215,1457
10/11/2016,00:00,1573,1352,3548,3944,3136,82,13721,3982,3739,2043,1013
11/11/2016,00:00,1713,1377,3673,4100,2770,45,13826,4158,3810,2009,941
12/11/2016,00:00,1123,882,3182,3481,1531,35,9415,3412,3161,1226,775
13/11/2016,00:00,487,448,1175,1581,630,27,5761,1522,1406,682,531
14/11/2016,00:00,1769,1536,3526,4121,3418,29,14740,4375,3959,2182,1462
15/11/2016,00:00,1489,1294,3188,3573,3269,45,12989,3749,3540,1932,1147
16/11/2016,00:00,1544,1369,3452,4155,3167,40,13850,4023,3852,1964,993
17/11/2016,00:00,1597,1380,3452,4053,3244,2475,14275,4161,3844,1956,979
18/11/2016,00:00,1609,1341,3855,4191,2644,2826,14253,4071,3812,1967,937
19/11/2016,00:00,1135,885,3029,3462,1397,1593,9262,3218,2913,1155,728
