Stunden,Zählung Neutor,FR stadteinwärts,FR stadtauswärts,Temperatur (°C),Windstärke (km/h)
1/1/2015 0:00,111,33,78,1,7
1/1/2015 1:00,230,114,116,1,7
1/1/2015 2:00,224,103,121,0,9
1/1/2015 3:00,273,90,183,1,11
1/1/2015 4:00,200,53,147,1,9
1/1/2015 5:00,112,31,81,1,11
1/1/2015 6:00,51,10,41,0,11
1/1/2015 7:00,28,7,21,1,13
1/1/2015 8:00,18,5,13,2,13
1/1/2015 9:00,26,15,11,1,7
1/1/2015 10:00,46,32,14,3,11
1/1/2015 11:00,44,28,16,4,19
1/1/2015 12:00,67,37,30,4,19
1/1/2015 13:00,99,50,49,5,20
1/1/2015 14:00,156,100,56,5,19
1/1/2015 15:00,172,107,65,4,15
1/1/2015 16:00,151,76,75,4,13
1/1/2015 17:00,103,53,50,4,15
1/1/2015 18:00,134,52,82,4,19
1/1/2015 19:00,100,42,58,4,22
1/1/2015 20:00,56,20,36,5,26
1/1/2015 21:00,48,18,30,4,22
1/1/2015 22:00,51,25,26,4,20
1/1/2015 23:00,32,15,17,5,24
1/2/2015 0:00,16,8,8,5,30
1/2/2015 1:00,11,2,9,5,26
1/2/2015 2:00,6,3,3,5,26
1/2/2015 3:00,7,3,4,5,28
1/2/2015 4:00,1,1,0,5,28
1/2/2015 5:00,11,8,3,5,26
1/2/2015 6:00,29,21,8,5,28
1/2/2015 7:00,96,68,28,6,32
1/2/2015 8:00,113,70,43,6,32
1/2/2015 9:00,154,111,43,7,24
1/2/2015 10:00,184,136,48,8,20
1/2/2015 11:00,195,119,76,8,28
1/2/2015 12:00,260,172,88,8,28
1/2/2015 13:00,319,194,125,8,24
1/2/2015 14:00,342,205,137,8,33
1/2/2015 15:00,368,222,146,7,28
1/2/2015 16:00,380,174,206,7,28
1/2/2015 17:00,318,155,163,6,28
1/2/2015 18:00,271,133,138,6,26
1/2/2015 19:00,278,135,143,6,26
1/2/2015 20:00,224,99,125,6,26
1/2/2015 21:00,113,49,64,5,24
1/2/2015 22:00,131,57,74,5,24
1/2/2015 23:00,104,32,72,4,20
1/3/2015 0:00,71,32,39,4,22
1/3/2015 1:00,65,25,40,4,20
1/3/2015 2:00,32,13,19,4,15
1/3/2015 3:00,27,3,24,4,17
1/3/2015 4:00,18,7,11,4,15
1/3/2015 5:00,20,12,8,4,17
1/3/2015 6:00,26,16,10,4,17
1/3/2015 7:00,41,31,10,4,17
1/3/2015 8:00,81,49,32,4,20
1/3/2015 9:00,185,142,43,4,24
1/3/2015 10:00,245,180,65,5,24
1/3/2015 11:00,244,158,86,4,30
1/3/2015 12:00,261,151,110,3,24
1/3/2015 13:00,279,146,133,3,19
1/3/2015 14:00,248,120,128,3,17
1/3/2015 15:00,273,151,122,3,13
1/3/2015 16:00,263,124,139,3,15
1/3/2015 17:00,245,101,144,3,17
1/3/2015 18:00,238,126,112,3,13
1/3/2015 19:00,270,121,149,3,15
1/3/2015 20:00,240,114,126,3,17
1/3/2015 21:00,128,80,48,3,19
1/3/2015 22:00,120,46,74,3,15
1/3/2015 23:00,112,38,74,2,13
1/4/2015 0:00,107,46,61,3,17
1/4/2015 1:00,110,40,70,3,15
1/4/2015 2:00,64,21,43,2,15
1/4/2015 3:00,59,14,45,3,17
1/4/2015 4:00,27,5,22,3,19
1/4/2015 5:00,12,5,7,2,15
1/4/2015 6:00,14,7,7,2,15
1/4/2015 7:00,34,24,10,3,17
1/4/2015 8:00,31,19,12,2,15
1/4/2015 9:00,119,81,38,2,17
1/4/2015 10:00,156,112,44,4,17
1/4/2015 11:00,188,118,70,5,19
1/4/2015 12:00,206,117,89,6,19
1/4/2015 13:00,289,171,118,7,17
1/4/2015 14:00,326,191,135,6,20
1/4/2015 15:00,353,204,149,6,15
1/4/2015 16:00,302,128,174,4,13
1/4/2015 17:00,289,131,158,2,15
1/4/2015 18:00,266,107,159,2,11
1/4/2015 19:00,266,125,141,1,11
1/4/2015 20:00,172,70,102,1,9
1/4/2015 21:00,99,31,68,2,9
1/4/2015 22:00,132,45,87,1,9
1/4/2015 23:00,69,34,35,2,9
1/5/2015 0:00,50,18,32,2,11
1/5/2015 1:00,21,6,15,1,9
1/5/2015 2:00,7,2,5,1,13
1/5/2015 3:00,2,1,1,1,19
1/5/2015 4:00,6,3,3,1,17
1/5/2015 5:00,36,22,14,2,17
1/5/2015 6:00,123,88,35,2,19
1/5/2015 7:00,442,260,182,2,17
1/5/2015 8:00,830,452,378,2,15
1/5/2015 9:00,734,427,307,2,15
1/5/2015 10:00,932,522,410,3,15
1/5/2015 11:00,892,479,413,3,15
1/5/2015 12:00,876,459,417,4,13
1/5/2015 13:00,861,463,398,4,17
1/5/2015 14:00,1054,559,495,4,15
1/5/2015 15:00,1022,548,474,4,17
1/5/2015 16:00,1077,598,479,3,17
1/5/2015 17:00,1214,742,472,2,6
1/5/2015 18:00,973,465,508,2,6
1/5/2015 19:00,853,322,531,2,7
1/5/2015 20:00,504,184,320,2,4
1/5/2015 21:00,357,155,202,2,4
1/5/2015 22:00,260,117,143,2,6
1/5/2015 23:00,147,45,102,2,6
1/6/2015 0:00,91,29,62,3,4
1/6/2015 1:00,48,9,39,3,6
1/6/2015 2:00,13,3,10,2,4
1/6/2015 3:00,8,5,3,2,6
1/6/2015 4:00,12,4,8,2,6
1/6/2015 5:00,38,27,11,3,6
1/6/2015 6:00,119,88,31,3,7
1/6/2015 7:00,505,287,218,3,6
1/6/2015 8:00,998,536,462,3,7
1/6/2015 9:00,978,503,475,3,7
1/6/2015 10:00,850,468,382,4,7
1/6/2015 11:00,907,518,389,4,6
1/6/2015 12:00,972,541,431,5,7
1/6/2015 13:00,983,559,424,5,7
1/6/2015 14:00,990,487,503,5,7
1/6/2015 15:00,987,512,475,4,6
1/6/2015 16:00,1147,570,577,3,4
1/6/2015 17:00,1198,629,569,4,9
1/6/2015 18:00,1036,505,531,3,13
1/6/2015 19:00,829,411,418,3,11
1/6/2015 20:00,544,235,309,3,9
1/6/2015 21:00,350,154,196,4,13
1/6/2015 22:00,334,98,236,3,11
1/6/2015 23:00,156,60,96,4,15
1/7/2015 0:00,78,24,54,4,15
1/7/2015 1:00,44,13,31,4,17
1/7/2015 2:00,7,3,4,4,15
1/7/2015 3:00,8,4,4,4,15
1/7/2015 4:00,7,4,3,5,15
1/7/2015 5:00,37,28,9,4,15
1/7/2015 6:00,133,100,33,2,9
1/7/2015 7:00,752,517,235,3,9
1/7/2015 8:00,1194,687,507,4,9
1/7/2015 9:00,882,476,406,4,13
1/7/2015 10:00,930,475,455,4,19
1/7/2015 11:00,859,484,375,4,20
1/7/2015 12:00,1000,538,462,5,17
1/7/2015 13:00,1029,570,459,6,15
1/7/2015 14:00,1018,548,470,6,19
1/7/2015 15:00,1119,549,570,6,15
1/7/2015 16:00,1192,583,609,5,11
1/7/2015 17:00,1283,650,633,4,13
1/7/2015 18:00,943,448,495,5,15
1/7/2015 19:00,917,456,461,4,15
1/7/2015 20:00,666,344,322,4,17
1/7/2015 21:00,434,209,225,4,15
1/7/2015 22:00,330,123,207,3,17
1/7/2015 23:00,223,89,134,3,20
1/8/2015 0:00,156,51,105,3,20
1/8/2015 1:00,85,19,66,3,19
1/8/2015 2:00,58,21,37,3,20
1/8/2015 3:00,34,2,32,4,20
1/8/2015 4:00,19,6,13,4,19
1/8/2015 5:00,48,34,14,4,19
1/8/2015 6:00,98,74,24,5,24
1/8/2015 7:00,606,397,209,5,19
1/8/2015 8:00,1008,555,453,6,19
1/8/2015 9:00,701,382,319,6,19
1/8/2015 10:00,811,455,356,6,17
1/8/2015 11:00,734,357,377,7,19
1/8/2015 12:00,837,392,445,7,20
1/8/2015 13:00,695,371,324,7,19
1/8/2015 14:00,688,327,361,7,11
1/8/2015 15:00,656,349,307,8,13
1/8/2015 16:00,664,365,299,8,17
1/8/2015 17:00,724,376,348,6,28
1/8/2015 18:00,593,299,294,5,15
1/8/2015 19:00,574,281,293,5,11
1/8/2015 20:00,336,148,188,6,24
1/8/2015 21:00,214,110,104,6,30
1/8/2015 22:00,216,89,127,6,30
1/8/2015 23:00,92,31,61,6,30
1/9/2015 0:00,90,21,69,6,24
1/9/2015 1:00,35,12,23,6,22
1/9/2015 2:00,18,2,16,7,24
1/9/2015 3:00,13,5,8,7,30
1/9/2015 4:00,14,8,6,7,30
1/9/2015 5:00,39,27,12,7,30
1/9/2015 6:00,88,58,30,8,39
