Stunden,Neutor (gesamt),FR stadteinwärts,FR stadtauswärts,Temperatur (°C),Windstärke (km/h),Wetter
1/1/2016 0:00,137,49,88,3,9,Klarer Himmel
1/1/2016 1:00,178,97,81,3,7,Klarer Himmel
1/1/2016 2:00,243,115,128,3,9,Klarer Himmel
1/1/2016 3:00,256,101,155,3,9,teilweise bewölkt
1/1/2016 4:00,205,68,137,2,6,wolkig
1/1/2016 5:00,125,36,89,3,6,Regen
1/1/2016 6:00,49,11,38,3,7,
1/1/2016 7:00,46,21,25,2,4,
1/1/2016 8:00,22,10,12,0,2,Nebel
1/1/2016 9:00,25,20,5,1,4,wolkig
1/1/2016 10:00,40,24,16,4,6,Nebel
1/1/2016 11:00,75,44,31,5,6,wolkig
1/1/2016 12:00,126,86,40,6,4,wolkig
1/1/2016 13:00,145,65,80,7,4,wolkig
1/1/2016 14:00,173,94,79,7,4,wolkig
1/1/2016 15:00,216,119,97,6,4,Nebel
1/1/2016 16:00,179,100,79,6,6,Nebel
1/1/2016 17:00,138,72,66,5,4,Nebel
1/1/2016 18:00,163,89,74,4,4,Nebel
1/1/2016 19:00,96,53,43,5,7,
1/1/2016 20:00,83,30,53,4,9,wolkig
1/1/2016 21:00,55,25,30,4,9,wolkig
1/1/2016 22:00,77,24,53,4,9,Klarer Himmel
1/1/2016 23:00,33,7,26,4,7,Klarer Himmel
1/2/2016 0:00,34,18,16,4,9,teilweise bewölkt
1/2/2016 1:00,18,5,13,5,9,wolkig
1/2/2016 2:00,8,5,3,4,11,Klarer Himmel
1/2/2016 3:00,5,2,3,4,13,Klarer Himmel
1/2/2016 4:00,6,5,1,4,13,Klarer Himmel
1/2/2016 5:00,21,12,9,4,17,Klarer Himmel
1/2/2016 6:00,35,20,15,4,17,Klarer Himmel
1/2/2016 7:00,44,34,10,4,13,Klarer Himmel
1/2/2016 8:00,79,43,36,4,15,Klarer Himmel
1/2/2016 9:00,130,97,33,4,15,wolkig
1/2/2016 10:00,195,131,64,4,15,Regen
1/2/2016 11:00,201,133,68,3,15,wolkig
1/2/2016 12:00,214,107,107,3,15,Regen
1/2/2016 13:00,215,120,95,3,15,Regen
1/2/2016 14:00,252,151,101,3,13,wolkig
1/2/2016 15:00,248,134,114,3,13,Regen
1/2/2016 16:00,235,119,116,3,15,Regen
1/2/2016 17:00,216,91,125,3,13,Regen
1/2/2016 18:00,177,83,94,2,17,Regen
1/2/2016 19:00,175,77,98,2,13,Regen
1/2/2016 20:00,148,79,69,2,13,wolkig
1/2/2016 21:00,95,45,50,2,15,wolkig
1/2/2016 22:00,68,29,39,2,13,wolkig
1/2/2016 23:00,83,51,32,2,13,wolkig
1/3/2016 0:00,73,37,36,2,13,wolkig
1/3/2016 1:00,53,16,37,2,11,teilweise bewölkt
1/3/2016 2:00,33,9,24,2,15,wolkig
1/3/2016 3:00,33,4,29,2,11,Regen
1/3/2016 4:00,16,6,10,3,15,wolkig
1/3/2016 5:00,15,6,9,3,15,wolkig
1/3/2016 6:00,18,6,12,2,17,Regen
1/3/2016 7:00,19,10,9,2,13,Regen
1/3/2016 8:00,34,23,11,2,17,Regen
1/3/2016 9:00,40,31,9,2,15,Regen
1/3/2016 10:00,88,50,38,2,15,Regen
1/3/2016 11:00,69,43,26,3,11,Regen
1/3/2016 12:00,80,40,40,3,13,Regen
1/3/2016 13:00,111,60,51,3,11,Regen
1/3/2016 14:00,133,74,59,3,9,Regen
