Stunden,Wolbecker Straße (gesamt),FR stadteinwärts,FR stadtauswärts,Temperatur (°C),Windstärke (km/h),Wetter
1/1/2016 0:00,89,30,59,3,9,Klarer Himmel
1/1/2016 1:00,164,73,91,3,7,Klarer Himmel
1/1/2016 2:00,188,101,87,3,9,Klarer Himmel
1/1/2016 3:00,186,103,83,3,9,teilweise bewölkt
1/1/2016 4:00,141,82,59,2,6,wolkig
1/1/2016 5:00,66,37,29,3,6,Regen
1/1/2016 6:00,54,32,22,3,7,
1/1/2016 7:00,47,25,22,2,4,
1/1/2016 8:00,27,17,10,0,2,Nebel
1/1/2016 9:00,30,18,12,1,4,wolkig
1/1/2016 10:00,63,26,37,4,6,Nebel
1/1/2016 11:00,58,28,30,5,6,wolkig
1/1/2016 12:00,145,62,83,6,4,wolkig
1/1/2016 13:00,153,97,56,7,4,wolkig
1/1/2016 14:00,158,106,52,7,4,wolkig
1/1/2016 15:00,174,98,76,6,4,Nebel
1/1/2016 16:00,156,74,82,6,6,Nebel
1/1/2016 17:00,141,69,72,5,4,Nebel
1/1/2016 18:00,118,58,60,4,4,Nebel
1/1/2016 19:00,104,52,52,5,7,
1/1/2016 20:00,65,37,28,4,9,wolkig
1/1/2016 21:00,47,25,22,4,9,wolkig
1/1/2016 22:00,70,38,32,4,9,Klarer Himmel
1/1/2016 23:00,27,12,15,4,7,Klarer Himmel
1/2/2016 0:00,27,14,13,4,9,teilweise bewölkt
1/2/2016 1:00,23,15,8,5,9,wolkig
1/2/2016 2:00,10,6,4,4,11,Klarer Himmel
1/2/2016 3:00,5,4,1,4,13,Klarer Himmel
1/2/2016 4:00,1,1,0,4,13,Klarer Himmel
1/2/2016 5:00,22,13,9,4,17,Klarer Himmel
1/2/2016 6:00,34,21,13,4,17,Klarer Himmel
1/2/2016 7:00,57,31,26,4,13,Klarer Himmel
1/2/2016 8:00,80,49,31,4,15,Klarer Himmel
1/2/2016 9:00,244,179,65,4,15,wolkig
1/2/2016 10:00,308,200,108,4,15,Regen
1/2/2016 11:00,334,202,132,3,15,wolkig
1/2/2016 12:00,372,198,174,3,15,Regen
1/2/2016 13:00,395,205,190,3,15,Regen
1/2/2016 14:00,401,184,217,3,13,wolkig
1/2/2016 15:00,349,142,207,3,13,Regen
1/2/2016 16:00,282,125,157,3,15,Regen
1/2/2016 17:00,273,108,165,3,13,Regen
1/2/2016 18:00,211,92,119,2,17,Regen
1/2/2016 19:00,199,83,116,2,13,Regen
1/2/2016 20:00,170,77,93,2,13,wolkig
1/2/2016 21:00,102,45,57,2,15,wolkig
1/2/2016 22:00,92,51,41,2,13,wolkig
1/2/2016 23:00,91,39,52,2,13,wolkig
1/3/2016 0:00,76,37,39,2,13,wolkig
1/3/2016 1:00,58,36,22,2,11,teilweise bewölkt
1/3/2016 2:00,36,24,12,2,15,wolkig
1/3/2016 3:00,30,17,13,2,11,Regen
1/3/2016 4:00,25,15,10,3,15,wolkig
1/3/2016 5:00,11,8,3,3,15,wolkig
1/3/2016 6:00,16,7,9,2,17,Regen
1/3/2016 7:00,27,16,11,2,13,Regen
1/3/2016 8:00,26,12,14,2,17,Regen
1/3/2016 9:00,56,31,25,2,15,Regen
1/3/2016 10:00,91,41,50,2,15,Regen
1/3/2016 11:00,96,52,44,3,11,Regen
1/3/2016 12:00,118,52,66,3,13,Regen
1/3/2016 13:00,116,57,59,3,11,Regen
1/3/2016 14:00,143,72,71,3,9,Regen
1/3/2016 15:00,167,101,66,3,13,wolkig
1/3/2016 16:00,206,114,92,3,11,wolkig
1/3/2016 17:00,207,107,100,3,13,teilweise bewölkt
1/3/2016 18:00,149,71,78,3,11,teilweise bewölkt
1/3/2016 19:00,172,101,71,2,11,wolkig
1/3/2016 20:00,123,66,57,2,15,wolkig
1/3/2016 21:00,105,55,50,2,15,wolkig
1/3/2016 22:00,96,58,38,2,17,wolkig
1/3/2016 23:00,63,31,32,2,15,wolkig
1/4/2016 0:00,39,15,24,2,15,Regen
1/4/2016 1:00,15,7,8,2,15,Schnee
1/4/2016 2:00,6,3,3,1,13,Schnee
1/4/2016 3:00,5,2,3,1,13,Schnee
1/4/2016 4:00,15,6,9,1,13,Regen
1/4/2016 5:00,63,32,31,1,13,Schnee
1/4/2016 6:00,179,90,89,1,11,Schnee
1/4/2016 7:00,398,247,151,1,13,Schnee
1/4/2016 8:00,431,297,134,1,9,Schnee
1/4/2016 9:00,323,226,97,0,9,Schnee
1/4/2016 10:00,277,160,117,0,9,Schnee
1/4/2016 11:00,237,141,96,0,7,Schnee
1/4/2016 12:00,306,151,155,0,9,Schnee
1/4/2016 13:00,344,193,151,0,7,Schnee
1/4/2016 14:00,376,196,180,0,7,wolkig
1/4/2016 15:00,414,200,214,1,6,Schnee
1/4/2016 16:00,599,263,336,0,7,wolkig
1/4/2016 17:00,630,277,353,-1,9,wolkig
1/4/2016 18:00,567,239,328,-1,11,wolkig
1/4/2016 19:00,413,152,261,-1,9,Regen
1/4/2016 20:00,247,112,135,-1,6,Regen
1/4/2016 21:00,136,69,67,-1,6,Schneeregen
1/4/2016 22:00,108,65,43,0,4,wolkig
1/4/2016 23:00,96,52,44,0,6,Schnee
1/5/2016 0:00,48,32,16,0,4,Schnee
1/5/2016 1:00,17,10,7,1,6,wolkig
1/5/2016 2:00,13,7,6,1,4,wolkig
1/5/2016 3:00,7,2,5,1,4,wolkig
1/5/2016 4:00,15,5,10,1,4,wolkig
1/5/2016 5:00,60,34,26,,,
1/5/2016 6:00,205,106,99,,,
1/5/2016 7:00,437,257,180,,,
1/5/2016 8:00,559,392,167,3,4,wolkig
1/5/2016 9:00,469,328,141,3,7,wolkig
1/5/2016 10:00,433,269,164,4,6,wolkig
1/5/2016 11:00,453,248,205,4,7,wolkig
1/5/2016 12:00,480,263,217,5,7,wolkig
1/5/2016 13:00,505,257,248,5,7,wolkig
1/5/2016 14:00,563,281,282,4,7,wolkig
1/5/2016 15:00,617,297,320,2,11,wolkig
1/5/2016 16:00,693,297,396,1,13,wolkig
1/5/2016 17:00,783,341,442,0,11,wolkig
1/5/2016 18:00,667,287,380,0,9,wolkig
1/5/2016 19:00,499,221,278,-1,13,Schneeregen
1/5/2016 20:00,315,123,192,-1,13,wolkig
1/5/2016 21:00,186,94,92,-1,11,wolkig
1/5/2016 22:00,187,96,91,-2,13,wolkig
1/5/2016 23:00,92,53,39,-2,11,wolkig
1/6/2016 0:00,46,23,23,-2,15,wolkig
