Name  /  Date: 2015_05_17;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);200;151;140;60;
MQ_03020_FV4_L (MQ1);98;54;31;29;
MQ_03290_FV3_GR (MQ10);154;134;124;71;
MQ_03020_FV2_L (MQ100);40;17;13;4;
Alle Motion Det Albersloherweg (MQ1000);16353;
MQ_03181_FV3_R (MQ1001);1;1;0;0;
MQ_06170_FV4_L (MQ1002);13;10;2;0;
MQ_08050_FV3_L (MQ1003);;3;0;2;
MQ_06161_FV3_L (MQ1004);63;67;63;33;
MQ_06170_FV6_L (MQ1005);27;10;8;5;
MQ_08110_FV1_LO (MQ1006);2;5;2;2;
MQ_08110_FV3_RO (MQ1007);;4;1;1;
LSA 29120 Schleifen (MQ1008);400;
MQ_06160_FV2_R (MQ1009);156;104;68;25;
MQ_02020_FV4_L (MQ101);132;101;55;29;
MQ_03030_FV1_G (MQ1010);240;203;112;47;
Alle Motion Det Weselerstr. (MQ1011);39088;
LSA 3290 Schleifen (MQ1012);3962;2749;2356;1227;
LSA 8020 Schleifen (MQ1013);2628;2196;2002;1021;
LSA 8030 Schleifen (MQ1014);1185;921;943;437;
LSA 8031 Schleifen (MQ1015);;
LSA 8040 Schleifen (MQ1016);1696;1762;1251;622;
LSA 8032 Schleifen (MQ1017);1191;919;800;431;
LSA 8041 Schleifen (MQ1018);608;556;395;217;
LSA 8054 Schleifen (MQ1019);;814;481;212;
MQ_02020_FV3_L (MQ102);27;12;11;7;
LSA 8140 Schleifen (MQ1020);594;356;241;154;
MQ_01210_FV32_L (MQ1021);24;12;7;4;
MQ_01081_FV3_G (MQ1022);175;141;123;69;
MQ_03030_FV1_L (MQ1023);;;;;
MQ_01200_FV1_G (MQ1024);415;356;217;114;
MQ_01121_FV1_G (MQ1025);72;43;14;9;
MQ_01121_FV3_L (MQ1026);0;1;1;0;
MQ_01121_FV3_G (MQ1027);4;35;22;9;
MQ_01121_FV1_R (MQ1028);10;6;2;1;
MQ_01200_FV1_L (MQ1029);13;20;4;4;
MQ_01070_FV2_L (MQ1030);;;;;
MQ_01121_FV2_G (MQ1031);8;8;5;2;
---Test (MQ1032);13;20;4;4;
MQ_09040_FV1_G (MQ1033);174;131;101;49;
MQ_09040_FV3_G (MQ1034);164;119;87;46;
MQ_09050_FV1_G (MQ1035);327;195;163;58;
