Name  /  Date: 2016_05_20;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);251;332;356;329;349;365;400;377;369;361;365;333;281;199;203;120;
MQ_03020_FV4_L (MQ1);;;;;;;;;
MQ_03290_FV3_GR (MQ10);171;241;210;213;229;240;240;242;228;249;244;236;211;149;171;111;
MQ_03020_FV2_L (MQ100);;;;;;;;;
Alle Motion Det Albersloherweg (MQ1000);;;;;;;;;
MQ_03181_FV3_R (MQ1001);2;1;2;2;2;2;6;1;2;2;2;2;1;1;1;1;
MQ_06170_FV4_L (MQ1002);-14;21;19;24;14;14;53;10;24;13;21;11;6;6;1;3;
MQ_08050_FV3_L (MQ1003);9;115;121;138;155;125;120;144;159;138;121;90;36;15;4;3;
MQ_06161_FV3_L (MQ1004);240;206;186;224;205;262;160;242;254;256;232;161;114;75;76;45;
MQ_06170_FV6_L (MQ1005);26;33;29;28;36;42;128;42;46;45;45;30;18;13;8;8;
MQ_08110_FV1_LO (MQ1006);32;18;20;31;20;18;24;21;20;23;15;10;8;6;3;4;
MQ_08110_FV3_RO (MQ1007);7;53;57;47;31;22;48;27;26;30;23;15;14;10;3;2;
LSA 29120 Schleifen (MQ1008);1093;1114;1274;1187;1314;1457;1720;1532;1397;1445;1192;985;677;485;371;325;
MQ_06160_FV2_R (MQ1009);17;219;205;204;220;205;280;199;222;189;217;169;106;85;88;59;
MQ_02020_FV4_L (MQ101);-50;235;245;265;288;362;560;366;348;346;307;226;169;109;87;46;
MQ_03030_FV1_G (MQ1010);510;603;554;620;756;849;600;890;843;686;606;415;287;269;166;117;
Alle Motion Det Weselerstr. (MQ1011);;67741;67741;67741;67741;67741;67741;;
LSA 3290 Schleifen (MQ1012);5783;6402;6353;6198;6557;6658;6560;6619;6625;6453;6212;6029;4750;3280;3685;2606;
LSA 8020 Schleifen (MQ1013);1556;5944;5568;5869;6294;6610;7515;6525;6340;6225;5706;5234;4021;2896;3220;2513;
