Name  /  Date: 2016_05_24;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);20;19;14;19;31;90;273;345;347;358;364;387;338;357;357;355;353;406;373;332;260;147;220;
MQ_03290_FV3_GR (MQ10);53;31;19;15;16;67;159;238;242;232;192;205;223;220;217;232;228;231;219;223;182;136;123;
Alle Motion Det Albersloherweg (MQ1000);;44350;44338;49343;53643;53296;45546;31767;22801;14995;16388;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;1;1;2;2;2;2;2;2;2;2;2;2;1;1;1;0;
MQ_06170_FV4_L (MQ1002);0;0;0;0;0;0;0;8;4;14;11;8;18;22;3;17;16;13;5;6;10;4;3;0;
MQ_08050_FV3_L (MQ1003);4;1;5;5;10;31;39;54;82;122;133;157;152;121;126;122;134;151;113;94;49;13;5;
MQ_06170_FV6_L (MQ1005);3;0;1;1;2;8;32;69;53;31;34;24;32;32;32;42;44;49;50;26;21;14;11;3;
MQ_08110_FV1_LO (MQ1006);1;0;0;0;1;1;5;8;12;11;16;15;15;15;23;24;29;26;19;13;5;6;4;
MQ_08110_FV3_RO (MQ1007);1;0;0;0;2;0;8;17;26;24;26;23;27;23;25;27;31;33;21;18;11;7;4;
LSA 29120 Schleifen (MQ1008);102;44;24;32;79;315;937;1578;1360;1171;1061;1137;1049;1265;1312;1493;1660;1713;1370;806;665;415;393;
MQ_06160_FV2_R (MQ1009);13;12;7;6;21;54;178;277;245;220;226;190;180;174;206;198;224;230;183;159;88;74;49;24;
MQ_02020_FV4_L (MQ101);31;3;2;10;13;31;136;299;314;257;259;268;282;292;313;364;376;403;375;260;169;124;64;
MQ_03030_FV1_G (MQ1010);36;11;8;11;30;124;459;897;840;649;593;572;635;687;773;899;1087;923;701;502;304;252;169;86;
Alle Motion Det Weselerstr. (MQ1011);73439;72225;74228;81655;89187;85380;78145;61022;43934;34908;30791;
LSA 3290 Schleifen (MQ1012);642;438;265;221;474;1283;3822;6343;6471;6199;6160;5914;6159;6278;6529;6566;6435;6646;6621;5489;4280;2809;3213;
LSA 8020 Schleifen (MQ1013);629;408;236;263;521;1378;4026;5772;5929;5584;5265;5422;6126;6008;6025;6396;6210;6283;6130;5033;3657;2534;3323;
LSA 8030 Schleifen (MQ1014);208;170;90;85;179;537;1546;2586;2604;2366;2199;2129;2262;2494;2568;2816;2801;2995;2641;2237;1562;1056;1780;
LSA 8031 Schleifen (MQ1015);177;146;80;67;119;375;1366;2248;2418;2188;1914;1910;2076;2159;2159;2576;2461;2353;2269;1759;1080;689;1853;
LSA 8040 Schleifen (MQ1016);391;332;224;244;653;2228;6649;10874;9603;7645;6545;6707;6989;7412;8141;9147;10117;9876;7769;5403;3392;2217;2138;
LSA 8032 Schleifen (MQ1017);183;112;54;77;186;599;1728;2803;2870;2418;2347;2330;2486;2511;2573;2991;2919;2730;2448;1794;1313;897;1551;
LSA 8041 Schleifen (MQ1018);109;79;47;71;169;407;1098;1584;1559;1564;1551;1600;1735;1711;1750;1892;1885;1801;1684;1332;917;656;896;
LSA 8054 Schleifen (MQ1019);114;66;39;50;142;455;1617;2732;2568;1925;1765;1803;2156;2116;2141;2423;2787;2656;2186;1396;1022;605;624;
MQ_02020_FV3_L (MQ102);3;3;0;1;0;5;32;60;55;52;39;31;54;47;50;51;54;57;58;41;20;19;25;
LSA 8140 Schleifen (MQ1020);73;45;20;36;74;281;906;1422;1233;1022;996;994;998;1147;1200;1341;1356;1496;1298;827;625;419;409;
MQ_01210_FV32_L (MQ1021);11;2;3;1;7;25;128;179;169;67;33;40;46;52;45;58;40;55;60;38;27;13;20;
MQ_01081_FV3_G (MQ1022);41;22;9;4;19;52;139;329;328;270;258;268;287;275;328;308;379;371;382;290;232;208;172;
MQ_03030_FV1_L (MQ1023);1;0;0;0;1;2;7;23;32;31;23;10;17;12;17;18;21;11;13;6;6;3;8;2;
MQ_01200_FV1_G (MQ1024);87;22;21;12;37;141;498;1004;839;702;812;873;1008;1144;1226;1551;1799;1476;1212;799;569;408;405;
MQ_01121_FV1_G (MQ1025);7;2;4;3;3;18;81;179;251;202;220;166;171;181;195;177;207;186;154;121;55;30;26;
MQ_01121_FV3_L (MQ1026);0;0;0;0;0;0;1;1;1;2;2;3;3;3;3;3;4;4;3;3;2;1;1;
MQ_01121_FV3_G (MQ1027);4;1;2;0;2;4;26;45;61;75;97;136;126;151;153;169;221;193;163;142;76;49;50;
MQ_01121_FV1_R (MQ1028);1;0;1;0;0;3;11;24;34;27;30;23;23;25;27;24;28;25;21;16;8;4;4;
MQ_01200_FV1_L (MQ1029);11;0;2;1;0;1;12;92;116;61;43;45;45;60;56;56;66;73;77;40;42;17;17;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;
MQ_01121_FV2_G (MQ1031);2;4;2;1;0;0;4;12;23;26;18;17;22;19;20;14;26;18;21;8;7;4;8;
---Test (MQ1032);18;4;3;2;10;38;163;351;297;208;213;199;297;266;268;316;378;301;324;228;142;101;109;
MQ_09040_FV1_G (MQ1033);17;10;3;9;9;27;79;240;203;173;193;257;259;245;232;309;321;361;350;247;182;137;132;
MQ_09040_FV3_G (MQ1034);21;9;4;3;18;51;180;246;316;369;302;304;295;277;298;289;304;299;294;249;141;111;91;
MQ_09050_FV1_G (MQ1035);32;13;14;10;21;75;281;501;324;332;371;473;490;503;480;599;617;639;556;433;327;278;243;
MQ_09050_FV3_G (MQ1036);23;10;9;14;37;99;395;443;525;537;438;404;411;413;450;454;478;522;479;385;240;180;125;
MQ_09060_FV11_G (MQ1037);29;12;11;9;22;79;302;494;392;316;346;481;453;494;497;577;600;623;532;411;305;252;268;
MQ_09060_FV11L (MQ1038);6;0;1;3;3;7;16;61;48;41;69;31;39;44;35;47;56;39;47;44;29;23;15;
MQ_09060_FV2_L (MQ1039);5;1;2;1;5;21;71;168;123;116;106;129;156;164;179;207;217;175;163;130;79;55;35;
MQ_03023_FV1_G (MQ104);22;5;4;7;21;68;307;697;609;417;440;422;419;428;599;695;860;740;564;368;272;167;126;59;
MQ_09060_FV2_R (MQ1040);1;0;0;0;1;5;15;35;25;24;22;26;32;33;37;42;45;36;33;27;16;11;7;
MQ_09060_FV3_G (MQ1041);29;13;9;13;33;106;410;430;523;530;427;415;398;394;441;453;483;538;496;384;247;157;128;
MQ_09060_FV3_R (MQ1042);5;2;2;2;4;43;166;232;190;153;117;117;112;110;127;143;174;195;163;114;66;39;32;
MQ_03250_FV1_R (MQ1043);2;1;0;1;1;3;16;33;29;22;20;31;32;28;28;37;42;45;41;29;22;18;17;
MQ_03250_FV1_G (MQ1044);10;6;3;5;6;20;88;190;163;126;116;173;183;160;156;212;239;255;230;167;124;101;97;
MQ_03250_FV1_L (MQ1045);4;5;0;3;7;9;31;64;77;57;67;81;62;62;66;89;81;87;112;55;46;27;23;
MQ_03250_FV2_R (MQ1046);4;2;2;1;4;11;33;57;64;59;57;53;57;55;58;58;62;58;55;43;30;21;19;
MQ_03250_FV2_G (MQ1047);25;17;11;10;31;84;241;418;470;431;416;391;418;407;426;428;451;428;406;316;219;157;142;
MQ_03250_FV2_L (MQ1048);9;4;5;6;13;43;141;192;156;136;166;232;177;239;201;250;236;226;204;161;113;98;80;
MQ_03250_FV3_R (MQ1049);5;2;1;2;7;21;79;79;96;103;81;85;86;80;86;83;85;94;83;70;42;34;28;
MQ_03250_FV3_G (MQ105);14;7;4;6;22;62;236;237;287;308;242;256;258;239;259;248;254;281;248;211;125;103;83;
MQ_03250_FV3_L (MQ1050);6;3;4;7;3;14;65;100;124;90;108;90;81;76;84;106;107;108;117;84;58;46;27;
MQ_03250_FV4_R (MQ1051);8;3;3;1;3;14;36;81;77;81;79;86;90;94;93;98;107;114;106;75;64;49;47;
MQ_03250_FV4_G (MQ1052);30;14;11;6;12;57;144;322;309;324;318;343;361;378;372;394;430;457;422;298;256;194;187;
MQ_03250_FV4_L (MQ1053);2;2;1;2;1;0;4;16;18;24;37;30;31;32;28;25;36;31;36;24;14;12;8;
MQ_03030_FV1_R (MQ1054);3;2;0;1;1;3;13;66;62;62;49;55;61;49;52;83;86;114;90;52;27;14;13;6;
MQ_03030_FV2_G (MQ1055);0;0;0;0;0;0;0;1;2;1;1;1;1;1;2;2;2;2;1;1;1;0;1;1;
MQ_03030_FV2_L (MQ1056);2;0;0;1;1;2;3;20;28;18;17;14;13;15;24;24;34;33;15;11;9;3;7;9;
MQ_03030_FV2_R (MQ1057);1;0;0;0;1;1;2;14;19;12;11;9;9;10;16;16;23;23;10;7;6;2;5;6;
MQ_03030_FV3_G (MQ1058);32;15;7;12;30;123;444;791;832;744;580;519;560;585;532;656;743;719;612;401;283;184;126;66;
MQ_03030_FV3_L (MQ1059);5;1;1;1;2;6;37;110;98;76;62;62;65;68;54;94;97;152;133;77;48;22;20;9;
MQ_03080_FV4_R (MQ106);3;1;0;0;1;5;40;166;148;65;67;58;66;60;56;71;67;96;65;52;32;18;16;6;
MQ_03030_FV3_R (MQ1060);1;0;0;0;0;2;6;11;11;11;9;8;8;8;7;9;10;10;9;6;4;3;2;1;
MQ_03030_FV4_G (MQ1061);1;0;0;0;0;2;8;15;14;10;8;9;9;9;10;10;11;12;11;10;10;8;4;1;
MQ_03030_FV4_L (MQ1062);4;0;0;0;1;10;50;101;93;66;52;60;60;59;68;67;73;81;73;70;67;50;27;7;
MQ_03030_FV4_R (MQ1063);4;0;0;0;1;10;50;101;93;66;52;60;60;59;68;67;73;81;73;70;67;50;27;7;
