Name  /  Date: 2016_11_01;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);;;;;;;;;;;;;284;278;227;191;132;174;56;
MQ_03020_FV4_L (MQ1);36;20;13;7;15;29;25;29;55;88;119;140;130;157;154;161;159;196;131;95;85;35;28;16;
MQ_03290_FV3_GR (MQ10);;;;;;;;;;;;;227;203;197;151;97;86;52;
MQ_03020_FV2_L (MQ100);6;6;4;3;7;2;1;6;3;8;10;20;17;30;27;23;20;25;24;22;19;16;7;8;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;0;0;0;1;1;1;2;2;2;1;1;1;1;1;1;1;0;0;
MQ_06170_FV4_L (MQ1002);1;1;2;0;0;1;1;1;3;6;7;7;5;5;3;6;7;11;6;8;5;1;0;0;
MQ_08050_FV3_L (MQ1003);6;3;1;3;5;3;6;3;6;10;19;13;17;19;15;21;23;16;11;8;7;0;2;2;
MQ_06161_FV3_L (MQ1004);28;15;12;4;6;22;23;27;44;84;129;155;176;175;207;202;177;186;156;119;80;59;44;18;
MQ_06170_FV6_L (MQ1005);4;2;6;3;1;2;4;8;8;18;28;30;26;28;34;25;22;29;27;33;13;8;11;4;
MQ_08110_FV1_LO (MQ1006);3;2;2;2;1;2;1;1;4;6;7;4;8;11;8;7;10;10;9;7;6;4;1;1;
MQ_08110_FV3_RO (MQ1007);2;0;1;0;0;0;2;3;11;13;11;12;9;7;13;10;11;10;7;7;7;2;1;1;
LSA 29120 Schleifen (MQ1008);205;158;170;148;140;125;152;145;240;437;615;729;748;784;877;888;771;857;719;581;455;269;199;124;
MQ_06160_FV2_R (MQ1009);45;29;35;23;21;42;31;40;63;71;90;86;107;132;140;145;170;160;148;125;92;44;39;29;
MQ_02020_FV4_L (MQ101);36;13;12;13;11;17;30;21;31;78;118;115;141;176;184;158;196;199;184;134;96;112;42;29;
MQ_03030_FV1_G (MQ1010);70;52;38;30;28;41;89;94;86;219;321;348;372;421;488;448;455;445;340;308;225;168;112;40;
LSA 3290 Schleifen (MQ1012);;;;;;;;;;;;;4465;4753;3955;3113;2246;2027;1026;
LSA 8030 Schleifen (MQ1014);1153;1097;846;754;699;713;541;416;450;591;816;1017;1143;1317;1619;1439;1648;1738;1674;1571;1150;865;1166;373;
LSA 8031 Schleifen (MQ1015);1550;1560;1422;1374;1299;1231;1046;624;536;719;736;880;827;869;1073;1059;1083;1187;1104;913;643;453;487;185;
LSA 8032 Schleifen (MQ1017);648;553;484;507;528;439;421;317;425;618;870;946;1133;1210;1514;1325;1410;1552;1318;1145;790;629;592;262;
LSA 8041 Schleifen (MQ1018);413;336;309;332;323;297;262;219;292;372;546;610;749;757;964;880;887;1022;846;748;484;366;357;147;
LSA 8054 Schleifen (MQ1019);309;217;183;168;190;169;216;216;275;540;758;868;965;1077;1273;1176;1007;1145;1006;796;563;393;299;149;
MQ_02020_FV3_L (MQ102);6;3;4;7;12;5;6;11;10;18;26;27;18;18;30;32;30;23;33;25;29;9;16;5;
LSA 8140 Schleifen (MQ1020);184;139;123;112;118;101;127;133;228;388;543;609;713;706;899;765;765;833;740;527;377;259;196;99;
MQ_01210_FV32_L (MQ1021);6;1;4;3;2;8;4;6;2;9;24;17;17;19;24;31;23;23;50;31;20;10;11;5;
MQ_01081_FV3_G (MQ1022);73;76;74;72;51;67;51;45;58;116;117;169;211;190;225;225;202;228;224;228;189;139;123;58;
MQ_03030_FV1_L (MQ1023);0;1;0;0;1;4;0;1;7;23;13;11;24;14;34;22;26;7;8;5;7;4;7;2;
MQ_01200_FV1_G (MQ1024);202;145;131;109;80;64;95;84;171;323;480;604;673;752;904;868;848;935;638;481;377;278;180;100;
MQ_01121_FV1_G (MQ1025);20;12;14;10;8;4;16;18;36;99;100;110;94;94;135;111;114;95;95;60;37;23;20;19;
MQ_01121_FV3_L (MQ1026);0;0;0;0;0;0;0;0;0;1;1;2;2;1;2;2;2;2;1;1;1;1;1;0;
MQ_01121_FV3_G (MQ1027);9;9;3;7;2;1;1;6;16;23;28;87;76;56;79;103;108;108;60;65;50;21;26;6;
MQ_01121_FV1_R (MQ1028);3;2;2;1;1;1;2;3;5;14;14;15;13;13;18;15;15;13;13;8;5;3;3;3;
MQ_01200_FV1_L (MQ1029);4;7;3;1;4;0;0;1;5;11;16;20;21;45;44;32;33;41;27;26;14;6;12;1;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01121_FV2_G (MQ1031);4;3;1;3;0;2;1;0;1;8;10;8;8;7;12;9;6;7;11;13;8;9;6;4;
MQ_09040_FV1_G (MQ1033);61;58;64;35;51;20;44;41;63;83;107;125;171;157;212;178;222;218;182;163;136;89;86;46;
MQ_09040_FV3_G (MQ1034);62;47;35;43;40;34;43;50;72;128;175;164;188;197;241;213;226;231;228;201;103;64;49;33;
MQ_09050_FV1_G (MQ1035);80;86;79;52;46;38;46;54;92;125;220;279;270;271;332;346;350;376;351;267;202;168;118;47;
MQ_09050_FV3_G (MQ1036);73;77;51;56;52;46;54;58;86;202;246;240;262;280;337;310;312;312;343;276;157;113;76;33;
MQ_09060_FV11_G (MQ1037);77;84;70;53;39;32;48;51;101;134;210;263;267;260;324;325;344;377;312;233;175;151;113;51;
MQ_09060_FV11L (MQ1038);17;10;7;5;5;7;5;3;12;11;15;22;19;18;29;31;10;26;26;16;19;17;7;5;
MQ_09060_FV2_L (MQ1039);12;11;14;6;8;2;17;12;17;38;56;81;81;83;110;72;78;100;85;66;47;26;17;9;
MQ_03023_FV1_G (MQ104);57;38;24;22;22;29;52;52;63;149;224;256;296;359;421;406;442;463;286;220;172;133;66;29;
MQ_09060_FV2_R (MQ1040);3;2;3;1;2;1;4;2;4;8;12;17;16;17;23;15;16;21;18;14;10;6;3;2;
MQ_09060_FV3_G (MQ1041);86;109;73;84;62;61;67;56;93;199;242;258;255;266;301;302;326;308;341;262;163;112;69;49;
MQ_09060_FV3_R (MQ1042);16;14;15;12;16;30;19;13;16;41;60;70;70;75;94;75;59;81;80;43;44;25;19;11;
MQ_03250_FV1_R (MQ1043);7;7;7;3;5;2;3;3;7;8;12;15;20;17;23;21;24;25;20;17;14;10;9;4;
MQ_03250_FV1_G (MQ1044);41;37;39;20;28;9;20;20;42;48;68;84;114;97;128;119;138;141;112;99;81;57;53;25;
MQ_03250_FV1_L (MQ1045);18;17;22;12;19;12;14;22;22;38;45;49;52;66;74;58;67;55;69;55;50;31;26;14;
MQ_03250_FV2_R (MQ1046);14;8;8;6;7;7;6;9;11;16;25;30;33;36;42;41;43;45;42;34;23;16;10;7;
MQ_03250_FV2_G (MQ1047);99;60;55;41;54;52;47;67;84;120;186;222;240;266;311;300;314;331;309;247;166;121;70;48;
MQ_03250_FV2_L (MQ1048);30;21;22;15;5;13;21;23;34;61;87;112;97;113;127;144;117;142;138;101;78;63;39;21;
MQ_03250_FV3_R (MQ1049);15;14;9;11;6;8;10;13;19;42;49;55;55;59;70;62;60;61;67;51;31;25;15;8;
MQ_03250_FV3_G (MQ105);44;42;26;33;18;24;31;38;56;127;147;165;165;177;209;185;179;183;200;152;93;74;44;24;
MQ_03250_FV3_L (MQ1050);25;26;29;24;20;20;16;9;13;30;53;51;45;52;62;66;70;75;83;58;41;26;19;13;
MQ_03250_FV4_R (MQ1051);22;23;18;13;14;16;15;9;12;23;41;54;58;57;72;59;63;73;72;50;42;33;27;13;
MQ_03250_FV4_G (MQ1052);90;91;72;52;54;64;60;38;50;92;164;215;234;228;289;235;253;292;289;198;169;132;106;51;
MQ_03250_FV4_L (MQ1053);17;9;6;6;5;6;5;3;4;2;13;3;14;13;21;11;22;16;10;13;20;11;8;1;
MQ_03030_FV1_R (MQ1054);5;3;1;1;4;1;3;9;14;55;115;116;100;94;114;78;47;40;40;20;8;7;11;1;
MQ_03030_FV2_G (MQ1055);0;0;0;0;0;0;0;0;1;1;1;2;2;2;2;2;3;2;1;0;1;1;1;0;
MQ_03030_FV2_L (MQ1056);4;1;1;1;1;1;0;2;7;12;17;26;23;23;31;32;38;33;17;4;7;8;7;4;
MQ_03030_FV2_R (MQ1057);3;1;0;1;1;0;0;2;5;8;12;18;16;16;21;22;26;22;12;3;5;6;5;3;
MQ_03030_FV3_G (MQ1058);72;48;31;22;31;58;49;63;106;210;307;334;338;383;411;384;316;385;312;253;204;127;82;53;
MQ_03030_FV3_L (MQ1059);4;11;2;3;3;6;7;9;28;52;140;127;109;88;74;73;57;56;56;36;22;12;14;7;
MQ_03080_FV4_R (MQ106);5;6;4;7;4;0;4;6;11;20;29;35;35;39;32;31;38;33;37;26;20;6;9;4;
MQ_03030_FV3_R (MQ1060);1;1;1;0;1;1;1;1;2;4;5;5;5;6;7;6;5;5;5;4;3;2;2;1;
MQ_03030_FV4_G (MQ1061);2;1;1;0;1;1;1;1;3;4;7;8;10;10;11;12;10;7;6;5;6;2;2;1;
MQ_03030_FV4_L (MQ1062);10;8;4;3;3;5;6;7;16;25;44;56;68;67;75;83;70;44;42;32;37;13;13;6;
MQ_03030_FV4_R (MQ1063);10;8;4;3;3;5;6;7;16;25;44;56;68;67;75;83;70;44;42;32;37;13;13;6;
MQ_03120_FV1_G (MQ107);181;130;112;90;91;116;154;157;228;404;607;628;655;714;765;672;646;714;624;460;374;286;220;100;
MQ_03020_FV2_R (MQ108);9;9;6;7;1;2;4;6;14;24;30;38;38;51;50;50;52;45;35;36;25;20;13;10;
MQ_03120_FV1_R (MQ109);2;2;1;1;1;1;2;2;3;5;7;7;7;8;8;7;7;8;7;5;4;4;3;1;
MQ_08050_FV2_L (MQ11);49;30;17;14;27;10;17;14;19;19;38;45;61;68;69;79;72;70;56;33;41;33;24;17;
MQ_03120_FV2_L (MQ110);2;1;3;4;8;5;11;4;4;18;19;21;27;18;15;13;18;17;24;16;12;5;0;2;
MQ_03120_FV2_R (MQ111);0;3;0;3;9;2;9;6;3;6;7;11;19;5;12;12;6;19;15;6;10;10;11;2;
MQ_06160_FV3_L (MQ112);2;4;2;1;1;3;3;5;6;21;33;39;55;51;73;52;54;59;32;24;20;7;10;2;
MQ_03120_FV3_G (MQ113);155;123;76;64;51;108;119;134;171;312;434;553;610;703;806;732;727;880;806;564;468;297;191;94;
MQ_03020_FV2_G (MQ114);23;18;12;7;7;8;9;12;23;38;62;70;81;95;90;93;82;91;73;79;44;44;30;11;
MQ_03120_FV3_L (MQ115);5;3;4;2;3;18;13;5;3;12;17;13;28;27;23;20;24;30;27;28;35;14;5;5;
MQ_03140_FV1_G (MQ116);136;102;58;49;44;70;96;120;156;285;410;515;600;672;770;703;670;796;727;494;399;269;170;83;
MQ_03140_FV1_L (MQ117);6;4;1;2;0;0;0;0;6;16;2;21;14;20;23;22;25;25;26;24;17;7;4;3;
MQ_03140_FV1_R (MQ118);4;3;2;2;1;2;3;3;5;7;11;12;15;16;18;18;17;18;19;13;10;7;5;3;
MQ_03140_FV2_G (MQ119);0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;
MQ_03290_FV3_G (MQ12);;;;;;;;;;;;;214;191;185;142;91;81;49;
MQ_03140_FV2_L (MQ120);1;3;0;1;0;1;1;1;4;7;13;11;11;16;9;11;13;11;9;3;4;1;7;1;
MQ_08040_FV1_L (MQ121);21;32;23;26;28;28;21;13;10;14;19;16;37;30;25;33;39;43;33;50;36;28;34;7;
MQ_03140_FV2_R (MQ122);2;5;1;2;0;1;2;2;7;12;20;18;17;25;15;17;21;18;15;5;6;1;11;1;
MQ_08040_FV1_G (MQ123);136;119;109;108;118;89;84;66;74;122;165;184;220;246;320;274;285;322;263;255;174;151;150;68;
MQ_03140_FV3_G (MQ124);155;117;98;73;73;111;138;136;199;382;566;582;631;642;751;683;662;737;597;491;350;269;201;88;
MQ_03140_FV3_L (MQ125);6;3;1;0;3;1;6;0;6;7;14;12;16;12;17;19;21;28;19;14;14;5;5;3;
MQ_03140_FV3_R (MQ126);4;3;2;2;2;2;3;4;5;8;11;11;12;13;13;13;13;13;12;10;7;5;4;2;
MQ_08040_FV1_R (MQ127);40;56;49;49;43;44;28;26;28;31;51;46;64;58;73;56;67;101;63;60;43;35;48;20;
MQ_08040_FV2_R (MQ128);22;15;9;16;12;13;11;9;9;7;21;19;18;27;55;28;53;55;41;28;9;10;7;1;
MQ_08040_FV2_L (MQ129);14;3;6;3;5;12;8;19;11;26;32;58;52;50;72;75;44;52;47;29;29;17;15;6;
MQ_08050_FV3_G (MQ13);133;80;73;72;79;84;104;101;160;336;447;479;506;525;630;533;457;518;472;356;242;143;92;58;
MQ_03140_FV4_G (MQ130);4;6;5;3;4;1;1;0;2;6;13;27;14;12;17;16;15;10;16;9;6;6;7;0;
MQ_03140_FV4_L (MQ131);10;2;1;2;3;3;8;7;17;29;33;36;34;34;41;27;35;34;33;20;21;14;7;6;
MQ_03160_FV1_G (MQ132);131;86;68;61;41;85;91;114;164;278;388;497;560;640;730;646;625;740;659;446;337;249;142;67;
