Name  /  Date: 2016_11_11;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);67;43;56;42;37;115;261;357;337;350;356;378;373;365;;366;366;355;339;306;223;261;174;
MQ_03020_FV4_L (MQ1);15;6;11;9;6;43;175;379;368;229;;
MQ_03290_FV3_GR (MQ10);62;39;42;29;37;74;162;252;249;215;217;238;245;247;;234;238;232;229;209;189;188;127;
MQ_03020_FV2_L (MQ100);4;3;2;0;2;1;19;47;29;19;;
Alle Motion Det Albersloherweg (MQ1000);;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;2;1;2;2;2;2;3;2;2;2;2;1;1;0;0;
MQ_06170_FV4_L (MQ1002);0;1;0;0;0;0;1;6;9;18;18;10;21;12;20;10;24;11;10;3;0;1;1;
MQ_08050_FV3_L (MQ1003);3;2;3;1;14;26;43;62;96;110;134;155;163;152;145;171;145;114;57;55;14;2;3;
MQ_06161_FV3_L (MQ1004);9;10;4;2;9;55;195;380;312;224;216;199;226;248;267;252;237;202;132;103;64;54;48;
MQ_06170_FV6_L (MQ1005);0;1;0;0;3;6;33;60;49;34;30;32;33;59;36;46;47;36;32;18;14;12;10;
MQ_08110_FV1_LO (MQ1006);1;1;0;1;0;1;4;9;15;18;17;16;19;20;29;22;20;16;9;8;5;4;4;
MQ_08110_FV3_RO (MQ1007);0;0;0;0;1;1;8;26;23;27;32;29;34;23;46;27;35;24;13;14;10;2;2;
LSA 29120 Schleifen (MQ1008);88;54;23;25;92;320;896;1742;1505;1315;1330;1431;1632;1940;1384;1551;1308;988;936;653;473;357;327;
MQ_06160_FV2_R (MQ1009);10;7;10;2;13;54;148;291;246;250;218;187;199;225;200;201;206;184;146;90;81;59;47;
MQ_02020_FV4_L (MQ101);20;11;10;6;9;47;142;274;261;288;255;237;316;367;;;;200;223;132;110;69;46;
MQ_03030_FV1_G (MQ1010);35;22;14;13;21;96;452;935;813;536;581;668;832;895;1000;874;650;583;366;234;231;162;132;
Alle Motion Det Weselerstr. (MQ1011);;
LSA 3290 Schleifen (MQ1012);1051;616;659;550;695;1720;3991;6453;6278;6260;6213;6400;6865;6583;;;;6177;5836;4789;3922;3969;2934;
LSA 8020 Schleifen (MQ1013);1082;616;736;631;715;1726;4057;5898;5708;5671;5703;6027;6392;6773;;6858;6131;5686;5338;4407;3608;3843;2777;
LSA 8030 Schleifen (MQ1014);360;229;230;190;250;571;1616;2628;2550;2251;2296;2394;2646;2916;3077;2915;2755;2525;2234;1862;1577;1877;1202;
LSA 8031 Schleifen (MQ1015);358;272;429;411;476;700;1454;2234;2418;2185;2035;2244;2482;2559;;2514;2281;2048;1695;1267;1266;1239;975;
LSA 8040 Schleifen (MQ1016);;
LSA 8032 Schleifen (MQ1017);293;171;263;219;255;706;1734;2947;2726;2368;2414;2487;2906;3003;2787;2691;2446;2183;1788;1358;1130;1113;857;
LSA 8041 Schleifen (MQ1018);258;141;242;157;183;492;1253;1998;1964;1839;1965;2040;2266;2460;;2517;2226;1942;1503;978;813;790;519;
LSA 8054 Schleifen (MQ1019);140;76;59;39;119;468;1561;2830;2435;1933;1917;1993;2484;2682;2852;2714;2340;2185;1438;1280;871;587;507;
MQ_02020_FV3_L (MQ102);0;3;0;2;2;7;35;49;33;41;50;46;54;58;;;;40;36;27;20;17;10;
LSA 8140 Schleifen (MQ1020);89;37;24;27;77;288;880;1443;1150;1013;1040;1136;1291;1458;1508;1292;1345;1014;860;581;431;352;297;
MQ_01210_FV32_L (MQ1021);0;7;2;2;5;16;130;180;155;47;41;49;61;62;;;;46;26;18;19;16;14;
MQ_01081_FV3_G (MQ1022);59;31;27;24;20;50;143;359;322;265;243;275;340;310;;;;290;254;209;160;162;130;
MQ_03030_FV1_L (MQ1023);2;1;1;0;1;6;8;17;34;15;13;14;25;17;10;15;21;41;9;4;4;9;10;
MQ_01200_FV1_G (MQ1024);78;43;35;23;38;142;448;928;771;673;771;976;1350;1528;;;;929;730;519;428;377;321;
MQ_01121_FV1_G (MQ1025);16;5;2;9;6;17;83;165;218;254;241;215;198;171;;;;169;107;75;44;31;20;
MQ_01121_FV3_L (MQ1026);0;0;0;0;0;0;1;1;1;2;2;3;4;4;;;;4;3;3;1;1;1;
MQ_01121_FV3_G (MQ1027);12;6;1;1;0;3;24;45;63;72;104;146;204;178;;;;199;165;126;64;66;55;
MQ_01121_FV1_R (MQ1028);2;1;0;1;1;2;11;23;30;35;33;29;27;24;;;;23;15;10;6;4;3;
MQ_01200_FV1_L (MQ1029);4;2;1;1;0;2;14;91;107;48;44;44;62;62;;;;45;42;14;16;13;11;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;
MQ_01121_FV2_G (MQ1031);7;3;2;2;2;4;6;21;20;29;22;29;21;7;;;;17;19;7;12;6;16;
Test (MQ1032);;;;509;456;329;271;240;212;
MQ_09040_FV1_G (MQ1033);36;22;8;7;12;41;117;201;171;174;203;209;264;350;290;368;343;377;309;184;166;139;100;
MQ_09040_FV3_G (MQ1034);23;16;8;9;15;57;178;293;348;338;329;253;335;297;296;327;311;287;260;170;117;116;85;
MQ_09050_FV1_G (MQ1035);50;31;12;11;18;88;263;358;295;299;230;390;488;563;489;528;505;551;419;281;231;204;173;
MQ_09050_FV3_G (MQ1036);34;22;17;12;28;129;344;456;499;444;411;399;396;425;459;454;399;406;317;215;152;127;108;
MQ_09060_FV11_G (MQ1037);47;26;13;7;19;95;286;357;311;289;322;370;476;583;471;497;501;500;
MQ_09060_FV11L (MQ1038);5;3;3;1;0;5;17;54;42;32;36;29;61;37;35;42;34;0;
MQ_09060_FV2_L (MQ1039);2;0;0;0;0;1;17;115;115;112;109;116;183;178;173;168;146;66;
MQ_03023_FV1_G (MQ104);25;16;7;9;15;58;302;700;568;397;418;522;637;675;752;667;482;435;298;191;210;146;99;
MQ_09060_FV2_R (MQ1040);0;0;0;0;0;0;4;24;24;23;22;24;37;37;36;34;30;14;
MQ_09060_FV3_G (MQ1041);40;27;18;12;32;122;348;442;479;429;395;335;427;422;404;437;414;370;
MQ_09060_FV3_R (MQ1042);7;11;4;1;14;56;125;219;157;126;110;110;121;150;147;120;116;100;
MQ_03250_FV1_R (MQ1043);3;3;1;1;1;5;18;26;19;18;22;25;34;40;33;44;38;41;32;19;17;15;12;
MQ_03250_FV1_G (MQ1044);19;14;4;3;8;29;99;145;109;103;127;141;194;225;187;248;215;234;184;110;98;83;67;
MQ_03250_FV1_L (MQ1045);11;7;3;1;6;9;42;70;87;79;70;65;90;93;96;100;95;110;86;58;51;46;28;
MQ_03250_FV2_R (MQ1046);5;3;3;1;4;14;35;58;65;60;61;64;62;62;57;61;55;61;44;33;27;23;15;
MQ_03250_FV2_G (MQ1047);38;18;21;10;29;100;258;425;474;439;450;467;457;452;416;450;404;446;326;241;198;166;108;
MQ_03250_FV2_L (MQ1048);21;8;5;5;8;50;106;162;124;142;144;159;190;210;237;193;160;204;145;97;80;69;57;
MQ_03250_FV3_R (MQ1049);7;5;3;3;6;22;70;85;98;63;83;69;96;78;80;86;79;74;60;44;30;26;21;
MQ_03250_FV3_G (MQ105);20;14;8;8;19;66;210;255;293;189;250;206;288;235;241;257;236;221;180;132;91;77;63;
MQ_03250_FV3_L (MQ1050);9;7;7;3;3;19;61;116;119;102;89;59;92;100;116;104;90;111;86;56;42;31;28;
MQ_03250_FV4_R (MQ1051);10;7;5;3;3;16;42;89;83;71;82;94;93;110;88;95;101;99;78;64;44;50;38;
MQ_03250_FV4_G (MQ1052);39;26;21;10;14;63;168;357;333;282;328;377;374;440;353;378;403;394;313;254;177;201;152;
MQ_03250_FV4_L (MQ1053);2;2;2;2;4;4;15;24;21;15;22;30;35;32;33;37;41;26;33;21;14;21;11;
MQ_03030_FV1_R (MQ1054);0;4;0;1;1;3;10;62;58;45;40;48;67;64;98;74;55;51;36;18;8;13;8;
MQ_03030_FV2_G (MQ1055);0;0;0;0;0;0;0;0;1;1;1;1;2;2;4;2;1;2;1;1;2;3;1;
MQ_03030_FV2_L (MQ1056);2;2;2;1;1;2;2;5;19;15;17;20;21;26;51;24;20;22;15;13;30;45;16;
MQ_03030_FV2_R (MQ1057);1;1;2;1;1;2;2;4;13;10;12;14;14;18;35;16;14;15;10;9;20;31;11;
MQ_03030_FV3_G (MQ1058);34;21;19;14;30;118;445;797;772;617;565;530;632;692;722;655;560;588;382;250;175;134;105;
MQ_03030_FV3_L (MQ1059);3;3;0;1;5;11;30;107;118;56;55;80;58;71;140;93;82;79;69;43;32;19;19;
MQ_03080_FV4_R (MQ106);5;1;1;0;0;4;47;204;143;83;66;52;66;103;93;61;55;50;28;18;20;9;17;
MQ_03030_FV3_R (MQ1060);1;0;0;0;1;1;6;10;11;9;8;7;8;10;9;9;8;8;6;4;3;2;2;
MQ_03030_FV4_G (MQ1061);1;0;0;0;0;2;7;10;11;11;7;8;8;9;10;9;8;9;6;4;6;3;2;
MQ_03030_FV4_L (MQ1062);4;2;3;0;2;10;44;68;72;73;44;52;56;62;66;63;57;61;40;25;40;19;11;
MQ_03030_FV4_R (MQ1063);4;2;3;0;2;10;44;68;72;73;44;52;56;62;66;63;57;61;40;25;40;19;11;
MQ_06070_10_D_TLS_S1S2 (MQ1064);;;;509;456;329;271;240;212;
MQ_06070_11_D_TLS_S3S4 (MQ1065);;;;609;550;377;302;282;273;
MQ_03120_FV1_G (MQ107);82;51;40;29;91;240;658;1025;1129;913;900;1035;1258;1329;1202;1121;1076;941;699;511;362;284;253;
MQ_03020_FV2_R (MQ108);3;0;2;3;1;6;22;53;71;61;;
MQ_03120_FV1_R (MQ109);1;1;1;0;1;3;7;10;10;9;9;11;12;13;12;11;11;10;8;6;4;4;3;
MQ_08050_FV2_L (MQ11);35;30;29;20;24;87;165;242;306;351;420;480;537;647;619;553;527;453;297;194;127;74;41;
MQ_03120_FV2_L (MQ110);1;2;4;2;1;7;20;29;32;38;31;32;42;46;44;33;30;31;17;16;14;4;3;
MQ_03120_FV2_R (MQ111);0;0;4;1;0;1;11;26;17;13;17;22;30;31;;23;27;26;49;8;7;1;2;
MQ_06160_FV3_L (MQ112);1;14;0;1;16;4;18;79;68;59;74;62;75;90;84;82;87;66;41;39;17;10;5;
MQ_03120_FV3_G (MQ113);78;51;33;26;53;240;857;1389;1218;954;892;885;999;1141;1194;1092;1029;979;790;518;362;317;238;
MQ_03020_FV2_G (MQ114);12;6;4;3;5;7;43;122;98;78;;
MQ_03120_FV3_L (MQ115);2;1;0;0;1;14;70;98;67;46;45;43;83;62;48;67;42;35;43;30;11;6;3;
MQ_03140_FV1_G (MQ116);72;38;23;23;36;200;749;1221;1152;838;845;863;952;1115;1183;1038;968;912;725;509;348;299;219;
MQ_03140_FV1_L (MQ117);2;2;3;0;1;2;4;23;43;30;31;33;34;30;60;33;47;36;30;28;10;4;9;
MQ_03140_FV1_R (MQ118);2;2;0;1;1;5;16;29;28;19;21;20;22;20;29;25;22;22;18;13;9;9;6;
MQ_03140_FV2_G (MQ119);0;0;0;0;0;0;1;2;1;1;1;1;1;2;2;1;1;1;1;1;0;0;0;
MQ_03290_FV3_G (MQ12);58;37;40;27;35;70;152;237;234;202;204;224;230;232;;220;224;218;215;197;178;177;119;
MQ_03140_FV2_L (MQ120);1;1;0;0;0;1;11;30;19;17;21;19;14;40;29;25;25;16;12;9;5;4;2;
MQ_08040_FV1_L (MQ121);7;4;5;3;6;7;12;29;40;47;44;43;80;80;;
MQ_03140_FV2_R (MQ122);1;1;1;0;1;2;17;48;30;26;33;29;22;63;45;39;39;25;20;15;8;7;3;
MQ_08040_FV1_G (MQ123);65;40;72;58;47;121;237;442;438;409;489;487;524;642;;
MQ_03140_FV3_G (MQ124);64;41;34;29;75;248;594;1028;1091;869;839;997;1226;1268;1280;1113;1065;942;655;492;344;265;230;
MQ_03140_FV3_L (MQ125);1;2;1;1;2;2;7;9;25;23;17;18;18;18;31;31;26;25;25;20;14;11;7;
MQ_03140_FV3_R (MQ126);2;1;1;1;2;6;11;16;18;14;14;17;21;22;22;20;18;16;12;10;7;5;5;
MQ_08040_FV1_R (MQ127);14;11;12;10;8;12;37;102;94;95;128;163;216;238;;
MQ_08040_FV2_R (MQ128);3;0;4;0;4;27;88;57;80;56;63;58;52;65;;
MQ_08040_FV2_L (MQ129);11;12;8;4;10;78;171;252;184;170;168;168;210;187;;
MQ_08050_FV3_G (MQ13);51;32;29;21;71;242;822;1383;1134;877;769;777;888;992;1070;1021;867;769;486;438;320;195;185;
MQ_03140_FV4_G (MQ130);0;0;2;0;0;0;12;50;29;12;18;14;29;33;32;26;29;25;9;9;3;5;12;
MQ_03140_FV4_L (MQ131);1;1;0;1;4;7;31;70;64;48;47;40;49;60;44;48;49;37;29;23;14;9;9;
MQ_03160_FV1_G (MQ132);64;29;22;15;43;218;596;1001;973;758;831;822;859;960;1043;948;916;868;675;469;319;275;204;
MQ_03160_FV1_L (MQ133);19;10;5;6;12;45;323;344;322;234;233;233;269;282;278;265;230;238;184;128;102;77;57;
MQ_03160_FV1_R (MQ134);5;3;2;1;4;18;48;69;70;58;63;58;59;64;74;66;62;63;46;36;26;22;16;
MQ_03160_FV2_G (MQ135);20;24;8;15;31;92;213;387;395;360;314;374;475;457;420;351;356;331;219;187;103;97;82;
MQ_03160_FV2_L (MQ136);0;3;0;0;3;6;8;37;49;39;65;58;102;94;107;92;74;39;24;8;7;9;5;
MQ_08040_FV3_L (MQ137);46;34;27;29;49;166;450;785;663;480;484;506;536;745;;
