Name  /  Date: 2016_11_24;0:00;1:00;2:00;3:00;4:00;5:00;6:00;7:00;8:00;9:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00
MQ_03290_FV12_GR (MQ0);54;19;22;30;41;99;257;316;338;357;352;368;337;350;366;363;349;357;347;329;252;220;189;92;
MQ_03290_FV3_GR (MQ10);61;35;32;29;33;82;167;231;225;217;204;206;214;220;224;243;242;235;233;220;202;167;140;74;
MQ_03181_FV3_R (MQ1001);0;0;0;0;0;0;1;2;2;1;2;2;2;2;2;3;3;3;2;1;1;1;1;0;
MQ_06170_FV4_L (MQ1002);0;0;0;0;0;0;1;11;8;7;10;12;12;17;16;18;13;20;11;12;12;4;2;0;
MQ_08050_FV3_L (MQ1003);2;2;1;2;16;27;35;55;83;93;135;114;109;122;109;124;112;125;114;81;37;14;6;10;
MQ_06161_FV3_L (MQ1004);13;5;5;1;8;58;189;360;356;276;202;201;202;202;221;248;261;280;267;149;108;75;57;39;
MQ_06170_FV6_L (MQ1005);2;1;0;0;3;6;32;64;43;41;31;30;30;34;37;44;54;47;44;32;20;16;8;4;
MQ_08110_FV1_LO (MQ1006);1;0;0;1;0;1;4;8;16;13;17;17;19;15;23;23;31;28;20;10;8;7;4;2;
MQ_08110_FV3_RO (MQ1007);0;0;0;1;1;2;6;21;23;26;28;27;29;23;24;28;26;28;21;14;10;7;2;1;
LSA 29120 Schleifen (MQ1008);45;42;55;86;217;240;1292;1308;1111;1096;1080;887;1256;1367;1612;1800;1800;1141;891;580;460;312;170;
MQ_06160_FV2_R (MQ1009);18;7;13;9;18;61;147;247;281;239;226;168;168;189;210;214;205;244;200;141;80;76;57;24;
MQ_02020_FV4_L (MQ101);19;3;10;11;15;41;132;244;277;247;223;224;234;290;343;324;376;374;300;269;161;100;66;30;
MQ_03030_FV1_G (MQ1010);33;15;14;8;33;110;444;951;876;591;581;620;661;757;808;1005;1096;899;701;476;332;222;171;78;
LSA 3290 Schleifen (MQ1012);932;517;463;479;688;1571;3929;6031;6382;6257;6194;6408;6304;6216;6579;6730;6488;6524;6212;5445;4381;3473;3002;1539;
LSA 8020 Schleifen (MQ1013);878;542;509;486;714;1606;3974;5812;6254;5682;5757;5982;5815;5927;6328;6172;6134;5970;5776;4666;3903;3147;2851;1407;
LSA 8030 Schleifen (MQ1014);347;180;148;183;243;602;1572;2547;2831;2443;2239;2442;2472;2544;2780;2836;2988;2925;2658;2002;1617;1277;1317;641;
LSA 8031 Schleifen (MQ1015);290;247;311;428;435;569;1569;2406;3255;2480;2066;2337;2235;2174;2409;2750;2814;2414;2058;1400;1102;807;829;384;
LSA 8040 Schleifen (MQ1016);495;271;303;280;598;2444;6447;10122;9868;7359;6816;7226;7265;7058;8050;8583;9222;8802;7352;4865;3326;2347;1934;954;
LSA 8032 Schleifen (MQ1017);210;130;109;128;187;644;1765;2763;2876;2506;2369;2627;2543;2518;2743;2882;2949;2730;2387;1669;1375;973;1027;438;
LSA 8041 Schleifen (MQ1018);148;90;86;93;155;431;1224;1618;1730;1650;1660;1862;1812;1759;1889;1930;1944;1846;1616;1278;991;688;638;307;
LSA 8054 Schleifen (MQ1019);122;80;57;69;105;481;1524;2719;2649;1918;1831;1888;2019;2075;2365;2530;2783;2551;2104;1422;1009;743;567;269;
MQ_02020_FV3_L (MQ102);2;8;1;0;2;7;35;55;54;39;48;50;42;54;62;51;60;61;52;40;31;21;13;9;
LSA 8140 Schleifen (MQ1020);79;48;35;44;68;297;868;1384;1180;1020;960;1104;1047;1126;1268;1394;1377;1391;1190;809;536;418;320;173;
MQ_01210_FV32_L (MQ1021);2;1;0;3;1;13;131;185;196;74;46;48;77;52;52;43;61;67;39;30;34;20;17;28;
MQ_01081_FV3_G (MQ1022);44;28;32;16;23;57;154;343;371;254;280;283;322;289;326;381;443;393;369;304;233;146;161;92;
MQ_03030_FV1_L (MQ1023);2;2;0;1;0;4;10;17;43;22;19;19;19;13;18;15;15;20;33;17;3;1;9;9;
MQ_01200_FV1_G (MQ1024);89;37;28;24;43;147;478;953;880;662;786;912;1079;1160;1363;1626;1815;1364;1190;867;645;453;334;201;
MQ_01121_FV1_G (MQ1025);5;5;2;3;7;16;92;188;218;256;246;209;214;176;194;215;194;212;200;136;84;34;27;13;
MQ_01121_FV3_L (MQ1026);0;0;0;0;0;0;1;1;1;2;2;3;3;4;4;5;4;5;4;4;3;1;1;0;
MQ_01121_FV3_G (MQ1027);5;6;1;1;1;2;29;49;65;87;113;146;160;186;192;227;206;226;216;198;162;68;54;18;
MQ_01121_FV1_R (MQ1028);1;1;0;0;1;2;13;26;30;35;34;28;29;24;26;29;27;29;27;18;11;5;4;2;
MQ_01200_FV1_L (MQ1029);2;1;2;0;1;3;17;77;94;55;33;41;48;54;50;82;77;106;56;36;24;16;12;9;
MQ_01070_FV2_L (MQ1030);;;;;;;;;;;;;;;;;;;;;;;;;
MQ_01121_FV2_G (MQ1031);6;6;5;2;1;6;4;19;16;17;14;13;13;9;14;22;18;12;18;18;16;16;9;6;
Test (MQ1032);69;53;42;25;53;71;232;473;532;467;502;471;456;501;486;551;563;550;522;425;297;242;198;115;
MQ_09040_FV1_G (MQ1033);39;12;14;10;9;41;105;203;182;180;213;238;269;276;303;302;374;296;277;255;212;154;128;67;
MQ_09040_FV3_G (MQ1034);17;17;6;9;12;52;174;298;331;367;307;271;289;290;308;283;307;318;291;207;142;91;104;52;
MQ_09050_FV1_G (MQ1035);44;18;16;20;23;74;261;397;341;311;338;387;438;443;476;502;598;564;504;392;300;232;215;83;
MQ_09050_FV3_G (MQ1036);23;18;12;10;34;94;377;493;529;498;401;364;369;360;429;399;464;429;422;330;202;149;130;77;
